CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,TRANS_LV1,TRANS_LV2,IB_REGISTER_DATE,CLIENT_CREATE_DATE,HIST_AVG_CA_BALANCE,ts_dt,BALANCE_COVERAGE_RATIO,DAYS_SINCE_LAST_TRANS,DAYS_SINCE_REG,cum_total_count,IS_DORMANT_WAKEUP,IS_LATE_NIGHT,cum_night_count,cum_night_ratio,IS_ANOMALOUS_TIME_ALERT,risk_score
901226,2019-09-04,15,50000000.0,Payment,Credit_card_repayment,2019-05-20,2019-05-20,234086.22375,2019-09-04 15:00:00,213.59650814506352,107.625,107.625,0,1,0,0,0.0,0,3.0
901798,2019-06-11,9,50000000.0,Transfer,Within_bank,2019-02-14,2019-02-13,59829.81428571428,2019-06-11 09:00:00,835.7037471798001,117.375,117.375,0,1,0,0,0.0,0,3.0
222455,2019-07-24,11,50000000.0,Transfer,Outside_bank,2019-04-08,2019-04-08,2695416.566666667,2019-07-24 11:00:00,18.550008417306664,107.45833333333333,107.45833333333333,0,1,0,0,0.0,0,3.0
331081,2019-09-25,0,13034088.0,Payment,Credit_card_repayment,2019-01-29,2019-01-23,281996.3925,2019-09-25 00:00:00,46.220761492676864,28.291666666666668,239.0,6,0,1,0,0.0,1,3.0
444241,2019-10-09,8,103870548.0,Transfer,Within_bank,2019-04-09,2019-04-09,5268.816666666667,2019-10-09 08:00:00,19714.20802321671,183.33333333333334,183.33333333333334,0,1,0,0,0.0,0,3.0
173665,2019-11-02,9,83186672.0,Payment,Credit_card_repayment,2019-06-05,2019-06-04,1861264.2966666666,2019-11-02 09:00:00,44.693637624990636,150.375,150.375,0,1,0,0,0.0,0,3.0
401858,2019-12-27,7,10000000.0,Transfer,Outside_bank,2019-01-19,2019-01-19,593645.0758333333,2019-12-27 07:00:00,16.845082031201862,329.0,342.2916666666667,1,1,0,0,0.0,0,3.0
295241,2019-09-28,0,22470000.0,Transfer,Outside_bank,2019-09-27,2019-09-27,188654.8925,2019-09-28 00:00:00,119.10637302347692,0.125,1.0,4,0,1,0,0.0,1,3.0
901799,2019-12-17,10,250000000.0,Transfer,Outside_bank,2019-07-01,2019-07-01,240508.835,2019-12-17 10:00:00,1039.4628537849987,152.04166666666666,169.41666666666666,2,1,0,0,0.0,0,3.0
902755,2019-12-18,15,29900000.0,Transfer,Outside_bank,2019-08-23,2019-08-23,24390.98,2019-12-18 15:00:00,1225.863002951967,117.625,117.625,0,1,0,0,0.0,0,3.0
314885,2019-09-03,1,9800000.0,Transfer,Outside_bank,2019-06-20,2019-06-20,201476.61,2019-09-03 01:00:00,48.64088193420364,0.08333333333333333,75.04166666666667,20,0,1,0,0.0,1,3.0
904625,2019-07-07,5,33000000.0,Transfer,Outside_bank,2019-05-06,2019-04-22,2165166.88125,2019-07-07 05:00:00,15.241319403886289,9.375,62.208333333333336,3,0,1,0,0.0,1,3.0
904726,2019-11-04,14,21000000.0,Payment,Credit_card_repayment,2019-06-03,2019-06-03,319339.72500000003,2019-11-04 14:00:00,65.76068792989156,154.58333333333334,154.58333333333334,0,1,0,0,0.0,0,3.0
904912,2019-12-02,15,30000000.0,Transfer,Outside_bank,2019-01-16,2019-01-16,846313.225,2019-12-02 15:00:00,35.4478686063845,105.04166666666667,320.625,16,1,0,0,0.0,0,3.0
906426,2019-12-28,10,48000000.0,Transfer,Outside_bank,2019-06-25,2019-06-25,3119512.41,2019-12-28 10:00:00,15.387020050305274,127.33333333333333,186.41666666666666,2,1,0,2,0.9999950000249999,0,3.0
11272,2019-11-04,8,50300000.0,Payment,Credit_card_repayment,2019-04-22,2019-03-22,402377.51999999996,2019-11-04 08:00:00,125.00698348841638,196.33333333333334,196.33333333333334,0,1,0,0,0.0,0,3.0
222740,2019-11-01,14,48000000.0,Transfer,Outside_bank,2019-08-02,2019-08-02,4555979.318,2019-11-01 14:00:00,10.535605333029883,91.58333333333333,91.58333333333333,0,1,0,0,0.0,0,3.0
908358,2019-10-15,12,15956260.0,Payment,Credit_card_repayment,2019-07-17,2019-07-17,310984.8925,2019-10-15 12:00:00,51.30879468521742,90.5,90.5,0,1,0,0,0.0,0,3.0
908760,2019-10-24,10,10499309.0,Payment,Credit_card_repayment,2019-03-27,2019-03-27,386848.658,2019-10-24 10:00:00,27.140611147547506,211.41666666666666,211.41666666666666,0,1,0,0,0.0,0,3.0
908866,2019-11-06,19,11200000.0,Transfer,Outside_bank,2019-05-28,2019-05-28,64955.0,2019-11-06 19:00:00,172.4270648645328,162.79166666666666,162.79166666666666,0,1,0,0,0.0,0,3.0
337933,2019-08-27,14,14850000.0,Transfer,Outside_bank,2019-04-10,2019-04-10,1250169.6779999998,2019-08-27 14:00:00,11.878387599064146,139.58333333333334,139.58333333333334,0,1,0,0,0.0,0,3.0
189637,2019-12-13,8,16000000.0,Transfer,Outside_bank,2019-08-10,2019-07-09,719501.0533333333,2019-12-13 08:00:00,22.237632489420527,125.33333333333333,125.33333333333333,0,1,0,0,0.0,0,3.0
60057,2019-12-22,13,20000000.0,Transfer,Outside_bank,2019-07-03,2019-07-03,147869.355,2019-12-22 13:00:00,135.25452923391364,172.54166666666666,172.54166666666666,0,1,0,0,0.0,0,3.0
310123,2019-12-24,15,700000000.0,Transfer,Within_bank,2019-09-13,2019-09-13,4447083.3325,2019-12-24 15:00:00,157.4065398960963,94.95833333333333,102.625,1,1,0,0,0.0,0,3.0
368262,2019-08-01,15,24610434.0,Payment,Credit_card_repayment,2019-03-28,2019-03-28,1976870.8199999998,2019-08-01 15:00:00,12.449186740424198,126.625,126.625,0,1,0,0,0.0,0,3.0
911941,2019-09-21,13,12230000.0,Transfer,Outside_bank,2019-03-28,2019-03-28,236257.419,2019-09-21 13:00:00,51.76557016176641,171.91666666666666,177.54166666666666,1,1,0,0,0.0,0,3.0
516431,2019-11-04,22,25000000.0,Payment,Credit_card_repayment,2019-08-05,2019-08-05,95572.75666666667,2019-11-04 22:00:00,261.5808193602472,91.91666666666667,91.91666666666667,0,1,0,0,0.0,0,3.0
440842,2019-12-16,15,15335000.0,Payment,Credit_card_repayment,2019-07-22,2019-07-03,86.02166666666666,2019-12-16 15:00:00,178269.0200218139,147.625,147.625,0,1,0,0,0.0,0,3.0
912017,2019-12-16,14,20000000.0,Transfer,Outside_bank,2019-03-18,2019-03-18,1516378.536,2019-12-16 14:00:00,13.189318844241479,249.08333333333334,273.5833333333333,2,1,0,0,0.0,0,3.0
21375,2019-09-26,15,69999950.0,Payment,Credit_card_repayment,2019-05-24,2019-05-22,968502.08,2019-09-26 15:00:00,72.27650972032734,125.625,125.625,0,1,0,0,0.0,0,3.0
86201,2019-09-30,17,14700000.0,Transfer,Outside_bank,2019-01-28,2019-01-28,219256.7725,2019-09-30 17:00:00,67.04467931237816,125.0,245.70833333333334,2,1,0,0,0.0,0,3.0
912580,2019-11-20,16,400000000.0,Transfer,Outside_bank,2019-03-12,2019-03-12,5492821.229,2019-11-20 16:00:00,72.82232268682338,135.04166666666666,253.66666666666666,5,1,0,0,0.0,0,3.0
222886,2019-05-14,0,11761725.0,Payment,Credit_card_repayment,2019-03-07,2019-02-27,884432.547,2019-05-14 00:00:00,13.29861168018166,28.458333333333332,68.0,4,0,1,0,0.0,1,3.0
427744,2019-11-25,11,14260261.0,Payment,Credit_card_repayment,2019-05-17,2019-05-09,679071.29625,2019-11-25 11:00:00,20.999652140413975,192.45833333333334,192.45833333333334,0,1,0,0,0.0,0,3.0
305115,2019-10-24,13,30000000.0,Payment,Credit_card_repayment,2019-02-13,2019-02-13,490088.93454545457,2019-10-24 13:00:00,61.213379623051736,253.54166666666666,253.54166666666666,0,1,0,0,0.0,0,3.0
194504,2019-09-12,22,20710000.0,Payment,Credit_card_repayment,2019-06-03,2019-06-03,123984.67749999999,2019-09-12 22:00:00,167.03676950992298,101.91666666666667,101.91666666666667,0,1,0,0,0.0,0,3.0
