CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,Device_ID_Hash,Beneficiary_CUSTOMER_NUMBER,ts_dt,tx_id,DEVICE_TOTAL_DISTINCT_CUSTOMERS,DEVICE_TOTAL_TRANS_COUNT,BENEFICIARY_TOTAL_DISTINCT_SENDERS,BENEFICIARY_TOTAL_TRANS_COUNT,BENEFICIARY_TOTAL_AMOUNT,IS_SHARED_DEVICE_ALERT,IS_COMMON_RECEIVER_ALERT,risk_score
575283,2019-01-09,12,100000.0,63a5a2828147779a,155495,2019-01-09 12:00:00,55,1,265,648,677,7649367462.0,0,1,2.0
575283,2019-01-17,12,4900000.0,63a5a2828147779a,360954,2019-01-17 12:00:00,58,1,265,656,676,4713051348.0,0,1,2.0
575283,2019-02-14,13,4000000.0,63a5a2828147779a,759077,2019-02-14 13:00:00,60,1,265,636,669,8535035289.0,0,1,2.0
575283,2019-02-18,16,36000.0,63a5a2828147779a,925502,2019-02-18 16:00:00,62,1,265,646,669,7413455991.0,0,1,2.0
575283,2019-03-09,17,140000.0,63a5a2828147779a,381872,2019-03-09 17:00:00,64,1,265,683,708,8795028421.0,0,1,2.0
575283,2019-04-19,10,500000.0,63a5a2828147779a,206109,2019-04-19 10:00:00,69,1,265,670,689,7080034582.0,0,1,2.0
575283,2019-05-22,17,4000000.0,63a5a2828147779a,118758,2019-05-22 17:00:00,72,1,265,672,703,7492230752.0,0,1,2.0
575283,2019-06-15,16,10930000.0,63a5a2828147779a,285006,2019-06-15 16:00:00,76,1,265,9,9,72249000.0,0,1,2.0
575283,2019-06-22,15,1000000.0,63a5a2828147779a,675591,2019-06-22 15:00:00,78,1,265,641,662,7683179353.0,0,1,2.0
575283,2019-06-26,19,612841.0,63a5a2828147779a,262821,2019-06-26 19:00:00,79,1,265,7,7,220142841.0,0,1,2.0
575283,2019-07-08,6,2000000.0,63a5a2828147779a,16930,2019-07-08 06:00:00,80,1,265,5,5,39319000.0,0,1,2.0
575283,2019-08-15,17,10990000.0,63a5a2828147779a,882643,2019-08-15 17:00:00,81,1,265,622,648,6312548365.0,0,1,2.0
575283,2019-09-20,11,4500000.0,63a5a2828147779a,741211,2019-09-20 11:00:00,83,1,265,650,671,6299298856.0,0,1,2.0
575283,2019-10-14,9,7800000.0,63a5a2828147779a,766035,2019-10-14 09:00:00,84,1,265,658,686,7186024875.0,0,1,2.0
575283,2019-10-25,9,2000000.0,63a5a2828147779a,538932,2019-10-25 09:00:00,85,1,265,642,677,7582845878.0,0,1,2.0
575283,2019-12-17,20,3500000.0,63a5a2828147779a,405482,2019-12-17 20:00:00,88,1,265,677,700,7916674819.0,0,1,2.0
575283,2019-12-21,17,1500000.0,63a5a2828147779a,151934,2019-12-21 17:00:00,89,1,265,633,657,5100181859.0,0,1,2.0
575283,2019-12-21,9,300000.0,63a5a2828147779a,793468,2019-12-21 09:00:00,90,1,265,8,8,64483000.0,0,1,2.0
575283,2019-02-01,12,8000000.0,63a5a2828147779a,237245,2019-02-01 12:00:00,91,1,265,5,5,38900000.0,0,1,2.0
575283,2019-02-25,10,1470000.0,63a5a2828147779a,661389,2019-02-25 10:00:00,92,1,265,682,714,8269327068.0,0,1,2.0
575283,2019-02-28,22,1000000.0,63a5a2828147779a,31375,2019-02-28 22:00:00,93,1,265,667,694,6139916218.0,0,1,2.0
575283,2019-03-12,18,600000.0,63a5a2828147779a,321137,2019-03-12 18:00:00,94,1,265,636,657,6809658075.0,0,1,2.0
575283,2019-03-22,21,3000000.0,63a5a2828147779a,796181,2019-03-22 21:00:00,95,1,265,6,6,21892000.0,0,1,2.0
575283,2019-03-25,20,3500000.0,63a5a2828147779a,197818,2019-03-25 20:00:00,96,1,265,646,667,8136130430.0,0,1,2.0
575283,2019-03-26,9,200000.0,63a5a2828147779a,342613,2019-03-26 09:00:00,97,1,265,10,10,49776000.0,0,1,2.0
575283,2019-03-30,17,1000000.0,63a5a2828147779a,151934,2019-03-30 17:00:00,99,1,265,633,657,5100181859.0,0,1,2.0
575283,2019-04-10,19,6000000.0,63a5a2828147779a,48592,2019-04-10 19:00:00,101,1,265,641,660,7327277322.0,0,1,2.0
575283,2019-05-06,18,2000000.0,63a5a2828147779a,416553,2019-05-06 18:00:00,102,1,265,6,6,7248000.0,0,1,2.0
575283,2019-06-16,21,415000.0,63a5a2828147779a,19918,2019-06-16 21:00:00,103,1,265,5,5,50558070.0,0,1,2.0
575283,2019-06-24,18,1000000.0,63a5a2828147779a,676198,2019-06-24 18:00:00,104,1,265,9,9,36759000.0,0,1,2.0
575283,2019-06-28,15,1000000.0,63a5a2828147779a,321137,2019-06-28 15:00:00,105,1,265,636,657,6809658075.0,0,1,2.0
575283,2019-07-22,17,160000.0,63a5a2828147779a,817483,2019-07-22 17:00:00,106,1,265,648,667,8580146273.0,0,1,2.0
575283,2019-09-01,17,1000000.0,63a5a2828147779a,609523,2019-09-01 17:00:00,108,1,265,644,684,7306301816.0,0,1,2.0
575283,2019-09-14,8,100000.0,63a5a2828147779a,670639,2019-09-14 08:00:00,110,1,265,678,711,6946614503.0,0,1,2.0
575283,2019-09-21,19,600000.0,63a5a2828147779a,433534,2019-09-21 19:00:00,111,1,265,653,680,10341179501.0,0,1,2.0
575283,2019-10-23,8,1000000.0,63a5a2828147779a,754816,2019-10-23 08:00:00,112,1,265,651,670,6383646302.0,0,1,2.0
575283,2019-10-24,7,1000000.0,63a5a2828147779a,170615,2019-10-24 07:00:00,113,1,265,7,7,23450000.0,0,1,2.0
575283,2019-10-23,11,500000.0,63a5a2828147779a,999042,2019-10-23 11:00:00,114,1,265,10,10,90951000.0,0,1,2.0
575283,2019-10-31,16,1000000.0,63a5a2828147779a,896701,2019-10-31 16:00:00,116,1,265,700,723,8117010639.0,0,1,2.0
575283,2019-11-22,11,500000.0,63a5a2828147779a,882939,2019-11-22 11:00:00,117,1,265,622,645,9171363346.0,0,1,2.0
575283,2019-11-23,11,1000000.0,63a5a2828147779a,126134,2019-11-23 11:00:00,118,1,265,6,6,9630000.0,0,1,2.0
575283,2019-12-26,19,3600000.0,63a5a2828147779a,142211,2019-12-26 19:00:00,119,1,265,5,5,8321978.0,0,1,2.0
575283,2019-01-12,9,1500000.0,63a5a2828147779a,672296,2019-01-12 09:00:00,120,1,265,692,716,7399628881.0,0,1,2.0
575283,2019-01-11,9,400000.0,63a5a2828147779a,501391,2019-01-11 09:00:00,121,1,265,7,7,29190000.0,0,1,2.0
575283,2019-03-05,14,15000000.0,63a5a2828147779a,929290,2019-03-05 14:00:00,124,1,265,3,3,53300000.0,0,1,2.0
575283,2019-03-19,8,7500000.0,63a5a2828147779a,849837,2019-03-19 08:00:00,125,1,265,585,611,6284496054.0,0,1,2.0
575283,2019-03-20,14,42000000.0,63a5a2828147779a,234658,2019-03-20 14:00:00,126,1,265,8,8,149800000.0,0,1,2.0
575283,2019-04-02,19,3500000.0,63a5a2828147779a,672296,2019-04-02 19:00:00,127,1,265,692,716,7399628881.0,0,1,2.0
575283,2019-04-10,21,200000.0,63a5a2828147779a,924029,2019-04-10 21:00:00,128,1,265,679,703,7392657522.0,0,1,2.0
575283,2019-04-27,6,1400000.0,63a5a2828147779a,364218,2019-04-27 06:00:00,129,1,265,629,656,9283174669.0,0,1,2.0
575283,2019-05-30,15,1822000.0,63a5a2828147779a,98641,2019-05-30 15:00:00,130,1,265,10,10,44229500.0,0,1,2.0
575283,2019-07-11,14,3400000.0,a04b1a08d67bdc1a,680287,2019-07-11 14:00:00,133,1,1,629,656,5538051955.0,0,1,2.0
575283,2019-07-24,14,500000.0,63a5a2828147779a,893299,2019-07-24 14:00:00,135,1,265,661,692,8584601028.0,0,1,2.0
575283,2019-07-24,10,5300000.0,63a5a2828147779a,896142,2019-07-24 10:00:00,136,1,265,644,671,6517636776.0,0,1,2.0
575283,2019-08-29,10,2000000.0,63a5a2828147779a,976074,2019-08-29 10:00:00,139,1,265,682,706,9162939032.0,0,1,2.0
575283,2019-09-04,10,2233000.0,63a5a2828147779a,771320,2019-09-04 10:00:00,141,1,265,659,682,8318307721.0,0,1,2.0
575283,2019-09-12,11,3000000.0,63a5a2828147779a,365022,2019-09-12 11:00:00,143,1,265,634,660,6399600520.0,0,1,2.0
575283,2019-09-13,10,4500000.0,63a5a2828147779a,798727,2019-09-13 10:00:00,144,1,265,641,670,8980267485.0,0,1,2.0
575283,2019-10-04,7,100000.0,63a5a2828147779a,988349,2019-10-04 07:00:00,147,1,265,617,639,7691137026.0,0,1,2.0
575283,2019-12-25,7,1100000.0,63a5a2828147779a,297594,2019-12-25 07:00:00,152,1,265,624,643,7077668478.0,0,1,2.0
575283,2019-02-15,9,2000000.0,63a5a2828147779a,111664,2019-02-15 09:00:00,153,1,265,656,685,6178866238.0,0,1,2.0
575283,2019-03-02,15,1500000.0,63a5a2828147779a,338400,2019-03-02 15:00:00,156,1,265,5,5,5449000.0,0,1,2.0
575283,2019-04-02,16,4500000.0,63a5a2828147779a,229974,2019-04-02 16:00:00,159,1,265,677,703,5722560353.0,0,1,2.0
575283,2019-04-09,6,5000000.0,63a5a2828147779a,797163,2019-04-09 06:00:00,161,1,265,625,651,5321926207.0,0,1,2.0
575283,2019-04-15,16,1050000.0,63a5a2828147779a,105955,2019-04-15 16:00:00,162,1,265,673,700,7489801847.0,0,1,2.0
575283,2019-05-25,15,10000000.0,63a5a2828147779a,622757,2019-05-25 15:00:00,163,1,265,652,680,9255587042.0,0,1,2.0
575283,2019-05-31,8,200000.0,63a5a2828147779a,847942,2019-05-31 08:00:00,164,1,265,651,682,6226831836.0,0,1,2.0
575283,2019-06-18,15,1800000.0,63a5a2828147779a,396430,2019-06-18 15:00:00,165,1,265,678,701,7974398731.0,0,1,2.0
575283,2019-06-17,9,400000.0,63a5a2828147779a,142651,2019-06-17 09:00:00,167,1,265,619,648,7132353070.0,0,1,2.0
575283,2019-06-29,8,1000000.0,63a5a2828147779a,84250,2019-06-29 08:00:00,168,1,265,10,10,207850000.0,0,1,2.0
575283,2019-07-14,11,7000000.0,63a5a2828147779a,353353,2019-07-14 11:00:00,170,1,265,614,636,6495083869.0,0,1,2.0
575283,2019-07-24,19,2500000.0,63a5a2828147779a,290679,2019-07-24 19:00:00,174,1,265,5,5,5640000.0,0,1,2.0
575283,2019-07-28,11,750000.0,63a5a2828147779a,43187,2019-07-28 11:00:00,176,1,265,663,685,7156617521.0,0,1,2.0
575283,2019-09-03,20,700000.0,63a5a2828147779a,43634,2019-09-03 20:00:00,177,1,265,664,686,9105507805.0,0,1,2.0
575283,2019-10-01,16,500000.0,63a5a2828147779a,572971,2019-10-01 16:00:00,178,1,265,640,662,6598405362.0,0,1,2.0
575283,2019-10-22,18,600000.0,63a5a2828147779a,120393,2019-10-22 18:00:00,179,1,265,650,684,7085938854.0,0,1,2.0
575283,2019-10-22,14,500000.0,63a5a2828147779a,230849,2019-10-22 14:00:00,180,1,265,624,639,10971679805.0,0,1,2.0
575283,2019-10-26,22,100000.0,63a5a2828147779a,400257,2019-10-26 22:00:00,183,1,265,626,648,6680963139.0,0,1,2.0
575283,2019-10-30,17,1200000.0,63a5a2828147779a,845387,2019-10-30 17:00:00,184,1,265,620,643,7435556470.0,0,1,2.0
575283,2019-11-23,18,4500000.0,63a5a2828147779a,729719,2019-11-23 18:00:00,185,1,265,623,649,5927547144.0,0,1,2.0
575283,2019-11-23,17,5000000.0,63a5a2828147779a,682767,2019-11-23 17:00:00,186,1,265,625,644,7270754387.0,0,1,2.0
575283,2019-12-24,15,5000000.0,63a5a2828147779a,890971,2019-12-24 15:00:00,187,1,265,643,663,6925168822.0,0,1,2.0
575283,2019-12-25,19,100000.0,63a5a2828147779a,245438,2019-12-25 19:00:00,188,1,265,645,670,9139783190.0,0,1,2.0
575283,2019-01-17,13,1700000.0,63a5a2828147779a,863680,2019-01-17 13:00:00,189,1,265,656,687,8795415561.0,0,1,2.0
575283,2019-03-25,20,1700000.0,63a5a2828147779a,134741,2019-03-25 20:00:00,193,1,265,8,8,178359025.0,0,1,2.0
575283,2019-04-15,17,1408000.0,63a5a2828147779a,457371,2019-04-15 17:00:00,194,1,265,8,8,63018000.0,0,1,2.0
575283,2019-04-11,11,9500000.0,63a5a2828147779a,789184,2019-04-11 11:00:00,195,1,265,651,664,8666655690.0,0,1,2.0
575283,2019-05-12,19,1000000.0,63a5a2828147779a,308392,2019-05-12 19:00:00,198,1,265,618,643,5636670697.0,0,1,2.0
575283,2019-05-10,12,3408000.0,63a5a2828147779a,38762,2019-05-10 12:00:00,199,1,265,5,5,5748000.0,0,1,2.0
575283,2019-06-10,20,1000000.0,63a5a2828147779a,327787,2019-06-10 20:00:00,200,1,265,590,612,6029317423.0,0,1,2.0
575283,2019-06-11,11,10000000.0,63a5a2828147779a,364745,2019-06-11 11:00:00,201,1,265,656,680,8587735345.0,0,1,2.0
575283,2019-06-21,21,2000000.0,63a5a2828147779a,327375,2019-06-21 21:00:00,202,1,265,11,11,261121000.0,0,1,2.0
575283,2019-06-30,17,500000.0,63a5a2828147779a,410441,2019-06-30 17:00:00,203,1,265,631,656,9115338002.0,0,1,2.0
575283,2019-07-10,19,12800000.0,63a5a2828147779a,849754,2019-07-10 19:00:00,204,1,265,9,9,59165000.0,0,1,2.0
575283,2019-08-06,17,5000000.0,63a5a2828147779a,681163,2019-08-06 17:00:00,207,1,265,677,694,7216111747.0,0,1,2.0
575283,2019-10-31,9,1000000.0,63a5a2828147779a,774523,2019-10-31 09:00:00,214,1,265,645,666,7393558290.0,0,1,2.0
575283,2019-11-11,9,500000.0,63a5a2828147779a,151245,2019-11-11 09:00:00,215,1,265,7,7,206170786.0,0,1,2.0
575283,2019-11-15,20,280000.0,63a5a2828147779a,50243,2019-11-15 20:00:00,216,1,265,5,5,56310000.0,0,1,2.0
575283,2019-11-25,11,600000.0,63a5a2828147779a,547653,2019-11-25 11:00:00,217,1,265,641,670,6786077743.0,0,1,2.0
575283,2019-12-20,16,700000.0,63a5a2828147779a,895071,2019-12-20 16:00:00,220,1,265,618,634,5594112496.0,0,1,2.0
575283,2019-12-25,11,700000.0,63a5a2828147779a,607366,2019-12-25 11:00:00,221,1,265,629,658,6647571894.0,0,1,2.0
575283,2019-02-28,11,1000000.0,63a5a2828147779a,337376,2019-02-28 11:00:00,224,1,265,604,629,5864462279.0,0,1,2.0
575283,2019-03-30,20,1400000.0,63a5a2828147779a,823563,2019-03-30 20:00:00,226,1,265,669,690,7626625305.0,0,1,2.0
575283,2019-04-15,11,400000.0,63a5a2828147779a,382835,2019-04-15 11:00:00,228,1,265,650,670,6798662774.0,0,1,2.0
575283,2019-04-16,13,2350000.0,63a5a2828147779a,88983,2019-04-16 13:00:00,231,1,265,655,679,7428474347.0,0,1,2.0
575283,2019-04-26,16,1500000.0,63a5a2828147779a,250977,2019-04-26 16:00:00,232,1,265,9,9,28436745.0,0,1,2.0
575283,2019-06-10,12,10000000.0,63a5a2828147779a,162570,2019-06-10 12:00:00,237,1,265,629,659,7196553819.0,0,1,2.0
575283,2019-06-11,16,5500000.0,63a5a2828147779a,430075,2019-06-11 16:00:00,238,1,265,642,674,6381101032.0,0,1,2.0
575283,2019-06-16,6,5000000.0,63a5a2828147779a,726750,2019-06-16 06:00:00,239,1,265,6,6,21300000.0,0,1,2.0
575283,2019-06-19,17,1000000.0,63a5a2828147779a,282261,2019-06-19 17:00:00,240,1,265,665,682,5762887054.0,0,1,2.0
575283,2019-06-27,10,800000.0,63a5a2828147779a,927580,2019-06-27 10:00:00,241,1,265,3,3,35303000.0,0,1,2.0
575283,2019-07-14,8,9500000.0,63a5a2828147779a,573694,2019-07-14 08:00:00,243,1,265,663,683,8150446521.0,0,1,2.0
575283,2019-07-28,18,210000.0,63a5a2828147779a,170419,2019-07-28 18:00:00,244,1,265,16,16,319282500.0,0,1,2.0
575283,2019-08-05,11,250000.0,63a5a2828147779a,220152,2019-08-05 11:00:00,245,1,265,602,629,9425675269.0,0,1,2.0
575283,2019-08-17,10,100000.0,63a5a2828147779a,993526,2019-08-17 10:00:00,246,1,265,638,665,8068483433.0,0,1,2.0
575283,2019-08-24,7,1500000.0,63a5a2828147779a,214694,2019-08-24 07:00:00,248,1,265,618,642,6000579211.0,0,1,2.0
575283,2019-09-22,7,500000.0,63a5a2828147779a,561451,2019-09-22 07:00:00,250,1,265,670,695,6008010083.0,0,1,2.0
575283,2019-10-22,15,200000.0,63a5a2828147779a,619464,2019-10-22 15:00:00,254,1,265,662,694,6646860467.0,0,1,2.0
575283,2019-03-07,21,2000000.0,63a5a2828147779a,36572,2019-03-07 21:00:00,259,1,265,604,629,8493144809.0,0,1,2.0
575283,2019-03-12,20,12000000.0,63a5a2828147779a,16884,2019-03-12 20:00:00,261,1,265,10,10,39840000.0,0,1,2.0
575283,2019-03-19,17,10000000.0,63a5a2828147779a,661389,2019-03-19 17:00:00,263,1,265,682,714,8269327068.0,0,1,2.0
575283,2019-03-18,19,10000000.0,63a5a2828147779a,483117,2019-03-18 19:00:00,264,1,265,650,668,8259645094.0,0,1,2.0
575283,2019-03-25,13,2500000.0,63a5a2828147779a,530392,2019-03-25 13:00:00,265,1,265,630,660,6877208061.0,0,1,2.0
575283,2019-04-03,13,2000000.0,63a5a2828147779a,937908,2019-04-03 13:00:00,268,1,265,654,679,7313734026.0,0,1,2.0
575283,2019-05-07,9,1000000.0,63a5a2828147779a,619464,2019-05-07 09:00:00,270,1,265,662,694,6646860467.0,0,1,2.0
575283,2019-05-07,16,1000000.0,63a5a2828147779a,486015,2019-05-07 16:00:00,271,1,265,641,666,4730260882.0,0,1,2.0
575283,2019-05-30,17,5000000.0,63a5a2828147779a,681417,2019-05-30 17:00:00,273,1,265,648,682,6851821272.0,0,1,2.0
575283,2019-05-31,18,349868.0,63a5a2828147779a,130369,2019-05-31 18:00:00,274,1,265,4,4,10579868.0,0,1,2.0
575283,2019-06-20,20,2000000.0,63a5a2828147779a,496228,2019-06-20 20:00:00,275,1,265,651,675,8215671341.0,0,1,2.0
575283,2019-06-25,9,19500000.0,63a5a2828147779a,592218,2019-06-25 09:00:00,276,1,265,626,656,6750598484.0,0,1,2.0
575283,2019-07-06,7,5000000.0,63a5a2828147779a,966760,2019-07-06 07:00:00,277,1,265,8,8,88993000.0,0,1,2.0
575283,2019-07-14,7,500000.0,63a5a2828147779a,966370,2019-07-14 07:00:00,278,1,265,621,641,5314385970.0,0,1,2.0
575283,2019-07-25,5,4000000.0,63a5a2828147779a,532427,2019-07-25 05:00:00,279,1,265,651,669,7970533826.0,0,1,2.0
575283,2019-08-19,18,1000000.0,63a5a2828147779a,753063,2019-08-19 18:00:00,280,1,265,682,715,9004944871.0,0,1,2.0
575283,2019-08-19,19,23500000.0,63a5a2828147779a,486051,2019-08-19 19:00:00,281,1,265,634,654,6027020724.0,0,1,2.0
575283,2019-09-06,18,4000000.0,63a5a2828147779a,465169,2019-09-06 18:00:00,282,1,265,669,698,10253544428.0,0,1,2.0
575283,2019-09-20,14,1000000.0,63a5a2828147779a,720914,2019-09-20 14:00:00,284,1,265,611,639,6786029782.0,0,1,2.0
575283,2019-10-29,16,500000.0,63a5a2828147779a,294019,2019-10-29 16:00:00,288,1,265,4,4,2510000.0,0,1,2.0
575283,2019-12-11,9,660000.0,63a5a2828147779a,363217,2019-12-11 09:00:00,290,1,265,623,644,7083261075.0,0,1,2.0
575283,2019-02-01,12,8000000.0,63a5a2828147779a,988349,2019-02-01 12:00:00,292,1,265,617,639,7691137026.0,0,1,2.0
575283,2019-02-18,12,8200000.0,63a5a2828147779a,247254,2019-02-18 12:00:00,293,1,265,612,631,7272264665.0,0,1,2.0
575283,2019-03-08,14,2900000.0,63a5a2828147779a,271493,2019-03-08 14:00:00,297,1,265,9,9,9660000.0,0,1,2.0
575283,2019-03-13,19,100000.0,63a5a2828147779a,63398,2019-03-13 19:00:00,298,1,265,650,670,7815644787.0,0,1,2.0
575283,2019-03-25,16,8000000.0,63a5a2828147779a,475010,2019-03-25 16:00:00,299,1,265,3,3,9550000.0,0,1,2.0
575283,2019-03-29,15,2000000.0,63a5a2828147779a,906017,2019-03-29 15:00:00,300,1,265,612,631,4652804407.0,0,1,2.0
575283,2019-04-03,8,300000.0,63a5a2828147779a,374669,2019-04-03 08:00:00,301,1,265,621,655,6946788409.0,0,1,2.0
575283,2019-04-04,12,1000000.0,63a5a2828147779a,824222,2019-04-04 12:00:00,302,1,265,8,8,20650001.0,0,1,2.0
575283,2019-04-10,16,8000000.0,63a5a2828147779a,145064,2019-04-10 16:00:00,303,1,265,671,689,8066173814.0,0,1,2.0
575283,2019-05-06,16,1500000.0,63a5a2828147779a,775141,2019-05-06 16:00:00,304,1,265,648,680,7608466781.0,0,1,2.0
575283,2019-05-31,21,2900000.0,63a5a2828147779a,374669,2019-05-31 21:00:00,306,1,265,621,655,6946788409.0,0,1,2.0
575283,2019-06-10,15,2800000.0,63a5a2828147779a,165087,2019-06-10 15:00:00,307,1,265,645,663,7068812816.0,0,1,2.0
575283,2019-06-15,15,1700000.0,63a5a2828147779a,510799,2019-06-15 15:00:00,308,1,265,642,673,6039888769.0,0,1,2.0
575283,2019-06-20,15,3000000.0,63a5a2828147779a,349774,2019-06-20 15:00:00,310,1,265,700,719,9954739086.0,0,1,2.0
575283,2019-08-26,18,100000.0,63a5a2828147779a,798727,2019-08-26 18:00:00,311,1,265,641,670,8980267485.0,0,1,2.0
575283,2019-09-01,11,400000.0,63a5a2828147779a,332977,2019-09-01 11:00:00,312,1,265,12,12,30745000.0,0,1,2.0
575283,2019-09-10,14,1200000.0,63a5a2828147779a,810147,2019-09-10 14:00:00,314,1,265,607,621,6286364046.0,0,1,2.0
575283,2019-09-24,17,1000000.0,63a5a2828147779a,776913,2019-09-24 17:00:00,316,1,265,8,8,26525000.0,0,1,2.0
575283,2019-09-29,20,1000000.0,63a5a2828147779a,858951,2019-09-29 20:00:00,318,1,265,11,11,26012000.0,0,1,2.0
575283,2019-09-30,19,90000.0,63a5a2828147779a,262928,2019-09-30 19:00:00,320,1,265,8,8,84474756.0,0,1,2.0
39593,2019-01-09,0,50000000.0,ba8e79584dd723d6,619290,2019-01-09 00:00:00,323,1,2,5,5,60746087.0,0,1,2.0
39593,2019-01-08,19,50000000.0,ba8e79584dd723d6,33614,2019-01-08 19:00:00,324,1,2,618,641,8967172500.0,0,1,2.0
104158,2019-01-09,15,10000000.0,4181497d85bb5078,185385,2019-01-09 15:00:00,325,1,165,652,684,7885851004.0,0,1,2.0
104158,2019-03-05,10,20000000.0,4181497d85bb5078,626969,2019-03-05 10:00:00,326,1,165,8,8,47550753.0,0,1,2.0
104158,2019-03-14,10,20000000.0,4181497d85bb5078,69129,2019-03-14 10:00:00,327,1,165,633,655,7312711568.0,0,1,2.0
104158,2019-05-10,9,8000000.0,4181497d85bb5078,52695,2019-05-10 09:00:00,328,1,165,645,669,10411122466.0,0,1,2.0
104158,2019-05-20,10,7000000.0,4181497d85bb5078,889194,2019-05-20 10:00:00,329,1,165,649,674,9295343350.0,0,1,2.0
104158,2019-08-23,13,500000.0,4181497d85bb5078,794790,2019-08-23 13:00:00,332,1,165,665,683,10297760949.0,0,1,2.0
104158,2019-08-30,15,7100000.0,4181497d85bb5078,629333,2019-08-30 15:00:00,333,1,165,3,3,9600000.0,0,1,2.0
104158,2019-09-06,9,1000000.0,4181497d85bb5078,649291,2019-09-06 09:00:00,334,1,165,662,688,7986956721.0,0,1,2.0
104158,2019-09-12,23,27785000.0,4181497d85bb5078,605247,2019-09-12 23:00:00,335,1,165,640,669,6163196027.0,0,1,2.0
104158,2019-10-01,12,30500000.0,4181497d85bb5078,78956,2019-10-01 12:00:00,336,1,165,634,657,6166654843.0,0,1,2.0
104158,2019-10-09,12,22000000.0,4181497d85bb5078,547653,2019-10-09 12:00:00,338,1,165,641,670,6786077743.0,0,1,2.0
104158,2019-10-14,22,250000.0,4181497d85bb5078,518916,2019-10-14 22:00:00,339,1,165,675,699,8410629054.0,0,1,2.0
104158,2019-10-24,18,200000.0,4181497d85bb5078,806129,2019-10-24 18:00:00,340,1,165,646,671,7293033678.0,0,1,2.0
104158,2019-11-05,9,1000000.0,4181497d85bb5078,374492,2019-11-05 09:00:00,341,1,165,5,5,8700000.0,0,1,2.0
104158,2019-12-19,8,300000.0,4181497d85bb5078,367923,2019-12-19 08:00:00,347,1,165,7,7,26830000.0,0,1,2.0
104158,2019-06-03,12,20000000.0,4181497d85bb5078,84502,2019-06-03 12:00:00,348,1,165,649,670,5884547468.0,0,1,2.0
104158,2019-06-21,16,10000000.0,4181497d85bb5078,258194,2019-06-21 16:00:00,349,1,165,8,8,267500000.0,0,1,2.0
104158,2019-06-25,11,20000000.0,4181497d85bb5078,60938,2019-06-25 11:00:00,350,1,165,639,669,9255057152.0,0,1,2.0
104158,2019-07-04,11,7200000.0,4181497d85bb5078,412175,2019-07-04 11:00:00,351,1,165,630,654,6638447826.0,0,1,2.0
104158,2019-11-11,13,20000000.0,4181497d85bb5078,624210,2019-11-11 13:00:00,355,1,165,645,665,6507721423.0,0,1,2.0
104158,2019-12-03,18,8800000.0,4181497d85bb5078,978381,2019-12-03 18:00:00,358,1,165,9,9,17550000.0,0,1,2.0
104158,2019-12-05,15,7000000.0,4181497d85bb5078,722770,2019-12-05 15:00:00,360,1,165,10,10,30790000.0,0,1,2.0
104158,2019-12-31,12,100000.0,4181497d85bb5078,195549,2019-12-31 12:00:00,361,1,165,669,694,6593078536.0,0,1,2.0
104158,2019-02-12,14,20000000.0,4181497d85bb5078,325450,2019-02-12 14:00:00,362,1,165,657,687,7580940297.0,0,1,2.0
