CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,TRANS_LV1,TRANS_LV2,Merchant_ID_Masked,ts_dt,tx_id,is_high_risk_cat,cum_cat_count,cum_tx_count,IS_FIRST_TIME_HIGH_RISK_CAT,IS_FIRST_TIME_HIGH_RISK_HIGH_VAL,MERCHANT_TOTAL_DISTINCT_CUSTOMERS,MERCHANT_TOTAL_TRANS_COUNT,MERCHANT_TOTAL_AMOUNT,risk_score
51805,2019-10-08,20,49520000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-08 20:00:00,1092942,1,0,1,1,1,46204,989006,10890308817423.29,2.5
52428,2019-11-01,16,160000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-01 16:00:00,1242715,1,0,1,1,1,46204,989006,10890308817423.29,2.5
58361,2019-02-20,11,84306000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-02-20 11:00:00,249467,1,0,2,1,1,46204,989006,10890308817423.29,2.5
60866,2019-09-07,18,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-07 18:00:00,951117,1,0,1,1,1,46204,989006,10890308817423.29,2.5
61369,2019-11-26,14,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-26 14:00:00,1282480,1,0,2,1,1,46204,989006,10890308817423.29,2.5
61384,2019-11-14,11,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-14 11:00:00,1405204,1,0,1,1,1,46204,989006,10890308817423.29,2.5
61561,2019-04-27,9,80000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-04-27 09:00:00,1328324,1,0,1,1,1,46204,989006,10890308817423.29,2.5
61750,2019-08-22,17,700000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-22 17:00:00,762587,1,0,14,1,1,46204,989006,10890308817423.29,2.5
62730,2019-08-15,11,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-15 11:00:00,1048573,1,0,1,1,1,46204,989006,10890308817423.29,2.5
64350,2019-07-03,11,38300000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-03 11:00:00,786920,1,0,1,1,1,46204,989006,10890308817423.29,2.5
65439,2019-06-21,9,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-06-21 09:00:00,629010,1,0,4,1,1,46204,989006,10890308817423.29,2.5
65562,2019-05-31,10,49206000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-05-31 10:00:00,88495,1,0,3,1,1,46204,989006,10890308817423.29,2.5
71014,2019-04-17,1,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-04-17 01:00:00,186536,1,0,23,1,1,46204,989006,10890308817423.29,2.5
74237,2019-11-20,16,510013503.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-20 16:00:00,1311897,1,0,1,1,1,46204,989006,10890308817423.29,2.5
77527,2019-05-28,10,236250000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-05-28 10:00:00,401042,1,0,2,1,1,46204,989006,10890308817423.29,2.5
81225,2019-08-20,15,120000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-20 15:00:00,937690,1,0,1,1,1,46204,989006,10890308817423.29,2.5
86219,2019-07-19,10,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-19 10:00:00,1263246,1,0,1,1,1,46204,989006,10890308817423.29,2.5
87888,2019-12-16,9,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-16 09:00:00,1358358,1,0,2,1,1,46204,989006,10890308817423.29,2.5
88168,2019-08-29,8,40000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-29 08:00:00,1374034,1,0,1,1,1,46204,989006,10890308817423.29,2.5
90518,2019-07-27,11,57900000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-27 11:00:00,759919,1,0,1,1,1,46204,989006,10890308817423.29,2.5
91537,2019-11-19,9,400000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-19 09:00:00,1259557,1,0,3,1,1,46204,989006,10890308817423.29,2.5
92143,2019-07-09,12,49800000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-09 12:00:00,864898,1,0,2,1,1,46204,989006,10890308817423.29,2.5
92610,2019-01-12,10,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-01-12 10:00:00,4553,1,0,1,1,1,46204,989006,10890308817423.29,2.5
93521,2019-11-07,19,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-07 19:00:00,1165079,1,0,1,1,1,46204,989006,10890308817423.29,2.5
94956,2019-12-18,9,41000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-18 09:00:00,1384903,1,0,2,1,1,46204,989006,10890308817423.29,2.5
95318,2019-11-19,10,70000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-19 10:00:00,1385480,1,0,2,1,1,46204,989006,10890308817423.29,2.5
95961,2019-05-10,17,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-05-10 17:00:00,277219,1,0,7,1,1,46204,989006,10890308817423.29,2.5
96398,2019-11-26,11,164900000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-26 11:00:00,1348322,1,0,1,1,1,46204,989006,10890308817423.29,2.5
96992,2019-02-01,14,39950000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-02-01 14:00:00,32734,1,0,1,1,1,46204,989006,10890308817423.29,2.5
98567,2019-07-31,21,42000027.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-31 21:00:00,848286,1,0,1,1,1,46204,989006,10890308817423.29,2.5
104104,2019-11-09,13,100000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-09 13:00:00,1411408,1,0,1,1,1,46204,989006,10890308817423.29,2.5
104657,2019-07-19,15,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-19 15:00:00,974571,1,0,8,1,1,46204,989006,10890308817423.29,2.5
105657,2019-08-14,8,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-14 08:00:00,915891,1,0,4,1,1,46204,989006,10890308817423.29,2.5
112930,2019-10-29,0,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-29 00:00:00,1411589,1,0,1,1,1,46204,989006,10890308817423.29,2.5
113132,2019-10-17,15,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-17 15:00:00,1366595,1,0,1,1,1,46204,989006,10890308817423.29,2.5
114245,2019-09-07,12,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-07 12:00:00,1100459,1,0,1,1,1,46204,989006,10890308817423.29,2.5
114902,2019-01-25,11,53710000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-01-25 11:00:00,567127,1,0,1,1,1,46204,989006,10890308817423.29,2.5
115473,2019-12-03,15,48000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-03 15:00:00,251423,1,0,2,1,1,46204,989006,10890308817423.29,2.5
116468,2019-03-08,9,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-03-08 09:00:00,292589,1,0,2,1,1,46204,989006,10890308817423.29,2.5
116468,2019-05-09,14,40000000.0,Topup,eWallet,MOMO_WALLET,2019-05-09 14:00:00,292567,1,0,16,1,1,9482,42563,14629638383.0,2.5
119116,2019-10-28,21,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-28 21:00:00,1367563,1,0,2,1,1,46204,989006,10890308817423.29,2.5
121948,2019-10-14,16,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-14 16:00:00,1395031,1,0,1,1,1,46204,989006,10890308817423.29,2.5
122306,2019-12-13,14,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-13 14:00:00,1152607,1,0,10,1,1,46204,989006,10890308817423.29,2.5
123839,2019-11-14,19,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-14 19:00:00,1374134,1,0,1,1,1,46204,989006,10890308817423.29,2.5
126134,2019-05-31,10,49178000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-05-31 10:00:00,1345785,1,0,2,1,1,46204,989006,10890308817423.29,2.5
126662,2019-12-25,19,100000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-25 19:00:00,1341341,1,0,1,1,1,46204,989006,10890308817423.29,2.5
127537,2019-12-19,15,200000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-19 15:00:00,1405404,1,0,1,1,1,46204,989006,10890308817423.29,2.5
129100,2019-10-28,22,95000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-28 22:00:00,1163455,1,0,6,1,1,46204,989006,10890308817423.29,2.5
129105,2019-11-20,9,40000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-20 09:00:00,1309392,1,0,1,1,1,46204,989006,10890308817423.29,2.5
131968,2019-12-09,13,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-09 13:00:00,1361850,1,0,5,1,1,46204,989006,10890308817423.29,2.5
133155,2019-12-29,15,94340000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-29 15:00:00,1332603,1,0,3,1,1,46204,989006,10890308817423.29,2.5
133360,2019-10-25,14,49500000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-25 14:00:00,1406267,1,0,3,1,1,46204,989006,10890308817423.29,2.5
133892,2019-12-03,12,41000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-03 12:00:00,1387611,1,0,1,1,1,46204,989006,10890308817423.29,2.5
137118,2019-10-10,22,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-10 22:00:00,1274909,1,0,1,1,1,46204,989006,10890308817423.29,2.5
137856,2019-09-20,10,695000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-20 10:00:00,542868,1,0,25,1,1,46204,989006,10890308817423.29,2.5
138073,2019-12-26,13,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-26 13:00:00,1401201,1,0,5,1,1,46204,989006,10890308817423.29,2.5
145064,2019-10-31,9,49160000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-31 09:00:00,1313976,1,0,1,1,1,46204,989006,10890308817423.29,2.5
145316,2019-08-09,14,300000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-09 14:00:00,943244,1,0,2,1,1,46204,989006,10890308817423.29,2.5
145439,2019-08-01,15,200000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-01 15:00:00,702934,1,0,2,1,1,46204,989006,10890308817423.29,2.5
146044,2019-10-07,14,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-07 14:00:00,1227539,1,0,2,1,1,46204,989006,10890308817423.29,2.5
146239,2019-10-16,9,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-16 09:00:00,1353014,1,0,1,1,1,46204,989006,10890308817423.29,2.5
146362,2019-10-27,16,46000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-27 16:00:00,1348452,1,0,5,1,1,46204,989006,10890308817423.29,2.5
147164,2019-04-24,8,117359000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-04-24 08:00:00,234094,1,0,1,1,1,46204,989006,10890308817423.29,2.5
148160,2019-06-13,0,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-06-13 00:00:00,532790,1,0,2,1,1,46204,989006,10890308817423.29,2.5
149076,2019-09-06,8,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-06 08:00:00,954954,1,0,1,1,1,46204,989006,10890308817423.29,2.5
149919,2019-03-25,12,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-03-25 12:00:00,123207,1,0,2,1,1,46204,989006,10890308817423.29,2.5
149949,2019-04-18,10,44000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-04-18 10:00:00,1390474,1,0,1,1,1,46204,989006,10890308817423.29,2.5
150533,2019-08-20,11,70000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-20 11:00:00,1406130,1,0,2,1,1,46204,989006,10890308817423.29,2.5
153446,2019-07-22,16,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-22 16:00:00,449071,1,0,45,1,1,46204,989006,10890308817423.29,2.5
153715,2019-10-17,20,75000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-17 20:00:00,956501,1,0,1,1,1,46204,989006,10890308817423.29,2.5
154218,2019-05-31,10,49130200.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-05-31 10:00:00,456595,1,0,3,1,1,46204,989006,10890308817423.29,2.5
154664,2019-12-28,10,45000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-28 10:00:00,1388692,1,0,1,1,1,46204,989006,10890308817423.29,2.5
155117,2019-08-27,8,57700000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-27 08:00:00,630845,1,0,22,1,1,46204,989006,10890308817423.29,2.5
156771,2019-10-16,11,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-16 11:00:00,1167584,1,0,3,1,1,46204,989006,10890308817423.29,2.5
161731,2019-12-16,14,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-16 14:00:00,1322561,1,0,5,1,1,46204,989006,10890308817423.29,2.5
161846,2019-08-24,10,49000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-24 10:00:00,620262,1,0,21,1,1,46204,989006,10890308817423.29,2.5
162208,2019-07-15,9,200000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-15 09:00:00,1150192,1,0,1,1,1,46204,989006,10890308817423.29,2.5
163172,2019-02-28,10,39000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-02-28 10:00:00,52834,1,0,15,1,1,46204,989006,10890308817423.29,2.5
164811,2019-07-31,15,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-31 15:00:00,1410488,1,0,1,1,1,46204,989006,10890308817423.29,2.5
166038,2019-12-12,18,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-12 18:00:00,828795,1,0,21,1,1,46204,989006,10890308817423.29,2.5
166597,2019-10-30,20,49100000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-30 20:00:00,1168433,1,0,1,1,1,46204,989006,10890308817423.29,2.5
169489,2019-04-26,22,47100000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-04-26 22:00:00,273334,1,0,2,1,1,46204,989006,10890308817423.29,2.5
169718,2019-12-16,19,407265029.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-16 19:00:00,1323791,1,0,1,1,1,46204,989006,10890308817423.29,2.5
170298,2019-09-06,18,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-06 18:00:00,1000976,1,0,1,1,1,46204,989006,10890308817423.29,2.5
170933,2019-06-28,15,500000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-06-28 15:00:00,534163,1,0,1,1,1,46204,989006,10890308817423.29,2.5
171588,2019-12-19,11,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-19 11:00:00,1316271,1,0,2,1,1,46204,989006,10890308817423.29,2.5
172701,2019-10-14,7,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-10-14 07:00:00,1118966,1,0,2,1,1,46204,989006,10890308817423.29,2.5
174024,2019-06-28,19,47400000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-06-28 19:00:00,606513,1,0,1,1,1,46204,989006,10890308817423.29,2.5
174208,2019-06-20,23,102850000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-06-20 23:00:00,620159,1,0,2,1,1,46204,989006,10890308817423.29,2.5
174600,2019-09-04,18,592115000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-04 18:00:00,737438,1,0,25,1,1,46204,989006,10890308817423.29,2.5
175359,2019-07-02,15,63800000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-02 15:00:00,406284,1,0,9,1,1,46204,989006,10890308817423.29,2.5
175908,2019-09-20,17,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-20 17:00:00,1032127,1,0,1,1,1,46204,989006,10890308817423.29,2.5
176216,2019-08-09,2,47000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-09 02:00:00,1410240,1,0,2,1,1,46204,989006,10890308817423.29,2.5
176946,2019-07-01,18,49500000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-01 18:00:00,626726,1,0,1,1,1,46204,989006,10890308817423.29,2.5
180420,2019-09-18,11,45000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-18 11:00:00,1392537,1,0,5,1,1,46204,989006,10890308817423.29,2.5
183197,2019-07-11,11,48000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-07-11 11:00:00,1313080,1,0,1,1,1,46204,989006,10890308817423.29,2.5
183785,2019-02-04,17,45000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-02-04 17:00:00,173174,1,0,1,1,1,46204,989006,10890308817423.29,2.5
184853,2019-09-03,15,195000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-09-03 15:00:00,1366763,1,0,2,1,1,46204,989006,10890308817423.29,2.5
188989,2019-08-06,7,300000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-06 07:00:00,1235892,1,0,1,1,1,46204,989006,10890308817423.29,2.5
189658,2019-06-12,8,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-06-12 08:00:00,367616,1,0,10,1,1,46204,989006,10890308817423.29,2.5
190202,2019-08-07,14,49000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-07 14:00:00,112903,1,0,5,1,1,46204,989006,10890308817423.29,2.5
190584,2019-12-16,12,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-16 12:00:00,1373946,1,0,4,1,1,46204,989006,10890308817423.29,2.5
192667,2019-08-01,15,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-01 15:00:00,1218168,1,0,1,1,1,46204,989006,10890308817423.29,2.5
193087,2019-05-13,15,40000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-05-13 15:00:00,327527,1,0,5,1,1,46204,989006,10890308817423.29,2.5
198809,2019-04-27,11,300000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-04-27 11:00:00,699469,1,0,1,1,1,46204,989006,10890308817423.29,2.5
205274,2019-11-11,19,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-11 19:00:00,1195897,1,0,8,1,1,46204,989006,10890308817423.29,2.5
207809,2019-11-06,7,50000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-11-06 07:00:00,1260096,1,0,2,1,1,46204,989006,10890308817423.29,2.5
207829,2019-08-10,8,40000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-08-10 08:00:00,826344,1,0,2,1,1,46204,989006,10890308817423.29,2.5
208754,2019-06-25,9,38000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-06-25 09:00:00,373791,1,0,4,1,1,46204,989006,10890308817423.29,2.5
211195,2019-12-23,17,38000000.0,Transfer,Outside_bank,BANK_TRANSFER_GATEWAY,2019-12-23 17:00:00,1333310,1,0,1,1,1,46204,989006,10890308817423.29,2.5
