CUSTOMER_NUMBER,anomaly_score_sample,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,Device_OS,IP_Address_Proxy,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,Occupation_Group,SUM_AMOUNT_1H,COUNT_1H,SUM_AMOUNT_3H,COUNT_3H,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_48H,COUNT_48H,SUM_AMOUNT_7D,COUNT_7D,SUM_AMOUNT_30D,COUNT_30D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,DAYS_SINCE_LAST_TRANS,UNIQUE_BENEFICIARIES_24H,HOURS_SINCE_SEC_EVENT,LAST_LOGIN_METHOD,HIST_BIOMETRIC_RATIO,HIST_LOGIN_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
640,-0.568836600060118,Transfer,Outside_bank,2019-11-12,Tue,10,1,20150000.0,687495,iOS,226.6.xx.xx (HCM),M,2019-04-26,1990-07-09,0,2019-06-03,BRANCH,1,SMS,Working,20150000.0,1,20150000.0,1,20150000.0,1,20150000.0,1,24205000.0,7,24725000.0,10,1329118.49875,1356661.0169491526,59,2.9583333333333335,1,3888.0,LOGIN_FINGER,0.4425287101994994,174.0,0.36760838353631675,-1.1317807288531814
666,-0.5893614180680429,Transfer,Within_bank,2019-06-06,Thu,14,1,200000.0,49277,iOS,29.174.xx.xx (HN),M,2019-02-13,1983-04-30,0,2019-02-13,BRANCH,1,SMS,Working,200000.0,1,200000.0,1,200000.0,1,200000.0,1,200000.0,1,200000.0,1,1797996.9054545455,509956.52173913043,23,113.58333333333333,1,0.0,LOGIN,0.0,0.0,0.34459753724249786,-1.3732064553881047
755,-0.6073351307087633,Transfer,Outside_bank,2019-11-15,Fri,10,1,2400000.0,299894,iOS,51.234.xx.xx (DN),M,2019-01-29,1964-04-13,0,2019-08-15,BRANCH,0,SMART_OTP,Pensioner,2400000.0,1,2400000.0,1,2400000.0,1,2400000.0,1,2400000.0,1,2400000.0,1,228209.50416666665,2450000.0,2,91.79166666666667,1,0.0,LOGIN,0.0,1.0,0.0,-2.172453964726062
777,-0.5847712726230543,Transfer,Outside_bank,2019-10-22,Tue,9,1,12000000.0,452974,iOS,219.200.xx.xx (BD),F,2019-06-05,1984-05-16,0,2019-06-05,BRANCH,0,SMART_OTP,Working,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,107206.71666666667,8500000.0,2,72.70833333333333,1,3323.0,LOGIN,0.0,13.0,0.0,-0.9581408352170221
783,-0.5676208764548486,Transfer,Outside_bank,2019-05-23,Thu,8,1,20000000.0,794790,iOS,210.205.xx.xx (BD),M,2019-04-20,1989-10-10,0,2019-04-20,BRANCH,0,SMART_OTP,Working,20000000.0,1,20000000.0,1,20000000.0,1,20000000.0,1,20000000.0,1,20000000.0,1,15836873.884444445,2068666.6666666667,30,33.333333333333336,1,788.0,LOGIN,0.0,23.0,0.5453117183044826,-0.9288869291626345
806,-0.6465378279474269,Payment,Credit_card_repayment,2019-11-26,Tue,16,1,2379665.0,NaN,iOS,141.125.xx.xx (DN),M,2019-01-10,1993-01-15,0,2019-09-26,AUTO-JOB,0,SMART_OTP,Businessman,2379665.0,1,2379665.0,1,2379665.0,1,2379665.0,1,2379665.0,1,2379665.0,1,125165.795,4261332.5,2,61.666666666666664,0,0.0,LOGIN,0.4499997750001125,20.0,0.0,-1.303704609216112
806,-0.6141837372351895,Payment,Credit_card_repayment,2019-12-25,Wed,11,1,6143000.0,NaN,iOS,108.156.xx.xx (TH),M,2019-01-10,1993-01-15,0,2019-09-26,AUTO-JOB,0,SMART_OTP,Businessman,6143000.0,1,6143000.0,1,6143000.0,1,6143000.0,1,6143000.0,1,8522665.0,2,125165.795,4261332.5,2,28.791666666666668,0,691.0,LOGIN,0.4399998240000704,25.0,0.0,-1.303704609216112
850,-0.6154264046688188,Transfer,Outside_bank,2019-12-13,Fri,15,1,30000000.0,893473,Android,240.65.xx.xx (HCM),F,2019-09-30,1991-10-20,0,2019-09-30,BRANCH,1,SMART_OTP,State servant,30000000.0,1,30000000.0,1,30000000.0,1,30000000.0,1,30000000.0,1,30000000.0,1,43437.9875,30000000.0,1,74.625,1,0.0,LOGIN,0.0,0.0,0.0,-2.054342783442995
921,-0.5909510075503674,Transfer,Outside_bank,2019-08-31,Sat,10,1,18840000.0,1212,Android,190.233.xx.xx (HN),M,2019-03-29,2000-02-26,0,2019-04-25,BRANCH,1,SMART_OTP,Commercial associate,18840000.0,1,18840000.0,1,18840000.0,1,18840000.0,1,18840000.0,1,20655000.0,8,953659.868888889,1383250.0,32,8.541666666666666,1,999.0,LOGIN_FINGER,0.3333331111112593,15.0,0.402341092616018,-1.2757411228936448
993,-0.6546618676970346,Payment,Credit_card_repayment,2019-09-10,Tue,14,1,40000000.0,NaN,Android,251.71.xx.xx (HCM),M,2019-03-15,1994-12-03,0,2019-06-10,BRANCH,0,SMART_OTP,Working,40100000.0,2,40100000.0,2,40100000.0,2,40100000.0,2,40100000.0,2,45226747.0,9,693916.224,1736383.142857143,42,0.0,0,311.0,LOGIN,0.4609928751068883,141.0,0.347124829462778,-1.2768835070351365
993,-0.5716389674674676,Payment,Credit_card_repayment,2019-10-11,Fri,22,1,2911095.0,NaN,Android,145.125.xx.xx (HCM),M,2019-03-15,1994-12-03,0,2019-06-10,BRANCH,0,SMART_OTP,Working,2911095.0,1,2911095.0,1,2911095.0,1,2911095.0,1,2911095.0,1,6791095.0,13,693916.224,1736383.142857143,42,7.416666666666667,0,1063.0,LOGIN,0.36312847133360493,179.0,0.347124829462778,-1.2768835070351365
993,-0.5730050934068396,Payment,Credit_card_repayment,2019-11-28,Thu,15,2,3227620.0,NaN,Android,54.137.xx.xx (HCM),M,2019-03-15,1994-12-03,0,2019-06-10,BRANCH,0,SMART_OTP,Working,3227620.0,1,3227620.0,1,3227620.0,1,3227620.0,1,3227620.0,1,3323620.0,2,693916.224,1736383.142857143,42,27.0,0,2208.0,LOGIN,0.3333333162393171,195.0,0.347124829462778,-1.2768835070351365
1055,-0.5783874617627073,Transfer,Outside_bank,2019-10-02,Wed,1,1,300000.0,756624,iOS,26.114.xx.xx (HN),M,2019-07-26,1994-08-18,0,2019-07-26,BRANCH,1,SMART_OTP,Unemployed,300000.0,1,300000.0,1,300000.0,1,300000.0,1,300000.0,1,8385000.0,32,234295.43000000002,241206.76691729322,266,16.958333333333332,1,25.0,LOGIN,0.07766989537185481,103.0,0.12533806997742247,-1.1207954554043411
1101,-0.584871355008626,Transfer,Within_bank,2019-10-28,Mon,15,2,135340000.0,85511,Android,28.61.xx.xx (DN),F,2019-03-05,1990-06-19,0,2019-03-12,BRANCH,1,SMART_OTP,Working,135340000.0,1,135340000.0,1,135340000.0,1,135340000.0,1,143340000.0,2,203640000.0,19,7364031.087777778,13236356.585798817,169,3.0833333333333335,1,5431.0,LOGIN_FINGER,0.47435895915516163,312.0,0.03316413390985802,-1.2861392070344557
1121,-0.5720310766528162,Transfer,Within_bank,2019-12-06,Fri,17,1,7500000.0,73935,Android,76.31.xx.xx (HP),M,2019-07-16,1994-12-14,0,2019-07-17,BRANCH,1,SMART_OTP,Working,7500000.0,1,7500000.0,1,7500000.0,1,7500000.0,1,7500000.0,1,7500000.0,1,760925.486,1532105.2631578948,19,30.041666666666668,1,2931.0,LOGIN,0.4752474776982695,101.0,0.6866173924238652,-1.3229935092058962
1149,-0.5914857640711149,Payment,Credit_card_repayment,2019-06-12,Wed,21,1,37000000.0,NaN,Android,214.153.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,37000000.0,1,37000000.0,1,37000000.0,1,37000000.0,1,37000000.0,1,37000000.0,1,1492431.96125,70275347.51773049,141,13.875,0,320.0,LOGIN,0.0,3.0,0.043763912950767064,-0.8376228017000888
1149,-0.5714272390693131,Payment,Credit_card_repayment,2019-06-24,Mon,15,1,84400000.0,NaN,Android,249.239.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,84400000.0,1,105400000.0,2,105400000.0,2,154900000.0,4,154900000.0,4,191900000.0,5,1492431.96125,70275347.51773049,141,0.08333333333333333,0,602.0,LOGIN,0.0,7.0,0.043763912950767064,-0.8376228017000888
1149,-0.5680920057864479,Payment,Credit_card_repayment,2019-06-24,Mon,16,3,95000000.0,NaN,Android,205.48.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,179400000.0,2,200400000.0,3,200400000.0,3,249900000.0,5,249900000.0,5,286900000.0,6,1492431.96125,70275347.51773049,141,0.041666666666666664,0,603.0,LOGIN,0.0,7.0,0.043763912950767064,-0.8376228017000888
1149,-0.5787320914423218,Payment,Credit_card_repayment,2019-06-25,Tue,14,5,176800000.0,NaN,Android,34.96.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,176800000.0,1,176800000.0,1,473200000.0,6,494200000.0,7,543700000.0,9,580700000.0,10,1492431.96125,70275347.51773049,141,0.6666666666666666,0,625.0,LOGIN,0.0,7.0,0.043763912950767064,-0.8376228017000888
1149,-0.5697818339900502,Payment,Credit_card_repayment,2019-06-25,Tue,15,1,100000000.0,NaN,Android,113.188.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,276800000.0,2,276800000.0,2,573200000.0,7,594200000.0,8,643700000.0,10,680700000.0,11,1492431.96125,70275347.51773049,141,0.041666666666666664,0,626.0,LOGIN,0.0,7.0,0.043763912950767064,-0.8376228017000888
1149,-0.5677527011418524,Payment,Credit_card_repayment,2019-07-02,Tue,13,1,65500000.0,NaN,Android,201.121.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,65500000.0,1,65500000.0,1,65500000.0,1,65500000.0,1,342300000.0,3,746200000.0,12,1492431.96125,70275347.51773049,141,6.916666666666667,0,792.0,LOGIN,0.0,7.0,0.043763912950767064,-0.8376228017000888
1149,-0.5965466225373709,Payment,Credit_card_repayment,2019-07-03,Wed,13,2,196442000.0,NaN,Android,241.89.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,196442000.0,1,196442000.0,1,288942000.0,3,288942000.0,3,288942000.0,3,969642000.0,14,1492431.96125,70275347.51773049,141,0.875,0,816.0,LOGIN,0.0,7.0,0.043763912950767064,-0.8376228017000888
1149,-0.5806121263839352,Payment,Credit_card_repayment,2019-07-04,Thu,19,1,150000000.0,NaN,Android,182.188.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,150000000.0,1,150000000.0,1,150000000.0,1,392542000.0,3,485042000.0,5,1165742000.0,16,1492431.96125,70275347.51773049,141,1.2083333333333333,0,846.0,LOGIN,0.0,7.0,0.043763912950767064,-0.8376228017000888
1149,-0.5824478779961538,Payment,Credit_card_repayment,2019-07-16,Tue,16,1,59000000.0,NaN,Android,147.108.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,59000000.0,1,59000000.0,1,59000000.0,1,59000000.0,1,59000000.0,1,1408842000.0,19,1492431.96125,70275347.51773049,141,10.958333333333334,0,1131.0,LOGIN,0.0,7.0,0.043763912950767064,-0.8376228017000888
1149,-0.6093987079435497,Payment,Credit_card_repayment,2019-08-01,Thu,19,1,163000000.0,NaN,Android,72.253.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,163000000.0,1,163000000.0,1,163000000.0,1,163000000.0,1,163000000.0,1,1321594000.0,23,1492431.96125,70275347.51773049,141,7.041666666666667,0,1518.0,LOGIN,0.0,21.0,0.043763912950767064,-0.8376228017000888
1149,-0.5664401292845535,Payment,Credit_card_repayment,2019-08-03,Sat,7,1,72700000.0,NaN,Android,144.154.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,72700000.0,1,72700000.0,1,102700000.0,2,265700000.0,3,265700000.0,3,1181752000.0,23,1492431.96125,70275347.51773049,141,0.9583333333333334,0,1554.0,LOGIN,0.0,23.0,0.043763912950767064,-0.8376228017000888
1149,-0.6009536662187057,Payment,Credit_card_repayment,2019-08-03,Sat,15,2,278560000.0,NaN,Android,214.207.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,278560000.0,1,278560000.0,1,403360000.0,3,596360000.0,5,596360000.0,5,1512412000.0,25,1492431.96125,70275347.51773049,141,0.20833333333333334,0,1562.0,LOGIN,0.0,25.0,0.043763912950767064,-0.8376228017000888
1149,-0.6021172792523334,Payment,Credit_card_repayment,2019-08-14,Wed,15,2,124700000.0,NaN,Android,190.35.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,124700000.0,1,124700000.0,1,124700000.0,1,124700000.0,1,124700000.0,1,1373512000.0,24,1492431.96125,70275347.51773049,141,9.166666666666666,0,1826.0,LOGIN,0.0,28.0,0.043763912950767064,-0.8376228017000888
1149,-0.5648506420722429,Payment,Credit_card_repayment,2019-08-16,Fri,8,1,70000000.0,NaN,Android,8.221.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,70000000.0,1,70000000.0,1,70000000.0,1,194700000.0,2,194700000.0,2,1384512000.0,24,1492431.96125,70275347.51773049,141,1.7083333333333333,0,1867.0,LOGIN,0.0,29.0,0.043763912950767064,-0.8376228017000888
1149,-0.5704212383755967,Payment,Credit_card_repayment,2019-08-26,Mon,11,3,93590000.0,NaN,Android,62.113.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,93590000.0,1,93590000.0,1,93590000.0,1,93590000.0,1,538990000.0,12,1437550000.0,21,1492431.96125,70275347.51773049,141,2.7916666666666665,0,2110.0,LOGIN,0.0,41.0,0.043763912950767064,-0.8376228017000888
1149,-0.5711301266827211,Payment,Credit_card_repayment,2019-08-26,Mon,13,3,110800000.0,NaN,Android,35.244.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,134300000.0,2,227890000.0,3,227890000.0,3,227890000.0,3,673290000.0,14,1571850000.0,23,1492431.96125,70275347.51773049,141,0.041666666666666664,0,2112.0,LOGIN,0.0,43.0,0.043763912950767064,-0.8376228017000888
1149,-0.5724662751592219,Payment,Credit_card_repayment,2019-08-29,Thu,15,1,77500000.0,NaN,Android,31.34.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,77500000.0,1,77500000.0,1,96300000.0,2,151800000.0,3,624447000.0,13,1868407000.0,30,1492431.96125,70275347.51773049,141,0.16666666666666666,0,2186.0,LOGIN,0.0,51.0,0.043763912950767064,-0.8376228017000888
1149,-0.6032646979811964,Payment,Credit_card_repayment,2019-09-03,Tue,14,1,184100000.0,NaN,Web,21.100.xx.xx (DN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,184100000.0,1,184100000.0,1,184100000.0,1,184100000.0,1,451800000.0,6,1514547000.0,27,1492431.96125,70275347.51773049,141,3.875,0,2305.0,LOGIN,0.0,56.0,0.043763912950767064,-0.8376228017000888
1149,-0.6167371084816057,Payment,Credit_card_repayment,2019-09-03,Tue,22,2,282680000.0,NaN,iOS,51.162.xx.xx (DN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,282680000.0,1,282680000.0,1,466780000.0,2,466780000.0,2,678980000.0,6,1797227000.0,28,1492431.96125,70275347.51773049,141,0.3333333333333333,0,2313.0,LOGIN,0.0,58.0,0.043763912950767064,-0.8376228017000888
1149,-0.5741677945464166,Payment,Credit_card_repayment,2019-09-04,Wed,20,2,108900000.0,NaN,Android,228.101.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,108900000.0,1,108900000.0,1,507580000.0,4,691680000.0,5,903880000.0,9,1972127000.0,30,1492431.96125,70275347.51773049,141,0.25,0,2335.0,LOGIN,0.0,61.0,0.043763912950767064,-0.8376228017000888
1149,-0.592603751372082,Payment,Credit_card_repayment,2019-09-05,Thu,8,3,206100000.0,NaN,Android,101.69.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,206100000.0,1,206100000.0,1,506000000.0,5,972780000.0,7,1184980000.0,11,2253227000.0,32,1492431.96125,70275347.51773049,141,0.4166666666666667,0,2347.0,LOGIN,0.0,63.0,0.043763912950767064,-0.8376228017000888
1149,-0.5754634200786479,Payment,Credit_card_repayment,2019-09-11,Wed,18,1,99800000.0,NaN,Android,65.50.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,99800000.0,1,99800000.0,1,99800000.0,1,106800000.0,2,496800000.0,5,2360027000.0,34,1492431.96125,70275347.51773049,141,1.2916666666666667,0,2501.0,LOGIN,0.0,66.0,0.043763912950767064,-0.8376228017000888
1149,-0.5869125496462726,Payment,Credit_card_repayment,2019-10-03,Thu,20,1,100300000.0,NaN,Android,77.28.xx.xx (HN),M,2019-05-29,1987-06-18,0,2019-05-30,BRANCH,1,SMART_OTP,Businessman,100300000.0,1,100300000.0,1,100300000.0,1,100300000.0,1,102300000.0,2,1032280000.0,12,1492431.96125,70275347.51773049,141,3.0833333333333335,0,3031.0,LOGIN,0.0,70.0,0.043763912950767064,-0.8376228017000888
