CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,TRANS_LV1,TRANS_LV2,ts_dt,IS_STRUCTURED_AMT,STRUCTURING_24H_COUNT,IS_STRUCTURING_ALERT,UNIQUE_BENEFICIARIES_24H,SUM_AMOUNT_24H,IS_MULE_ALERT,risk_score
208370,2019-10-27,14,6300000.0,768349,Transfer,Outside_bank,2019-10-27 14:00:00,0,2.0,1,10,160793000.0,1,4.0
208370,2019-10-27,15,28040000.0,908998,Transfer,Outside_bank,2019-10-27 15:00:00,0,2.0,1,10,185533000.0,1,4.0
348242,2019-10-11,16,188458560.0,592218,Transfer,Outside_bank,2019-10-11 16:00:00,1,2.0,1,5,468531000.0,1,4.0
118965,2019-03-24,17,95000000.0,813928,Transfer,Outside_bank,2019-03-24 17:00:00,1,2.0,1,3,190005000.0,1,4.0
348242,2019-10-11,17,12962000.0,855489,Transfer,Outside_bank,2019-10-11 17:00:00,0,2.0,1,6,481493000.0,1,4.0
427722,2019-12-15,10,1300000.0,188061,Transfer,Outside_bank,2019-12-15 10:00:00,0,2.0,1,11,289004000.0,1,4.0
235316,2019-07-08,19,94900000.0,242867,Transfer,Outside_bank,2019-07-08 19:00:00,1,2.0,1,3,199577260.0,1,4.0
427722,2019-12-15,11,550000.0,880143,Transfer,Outside_bank,2019-12-15 11:00:00,0,2.0,1,11,289554000.0,1,4.0
72411,2019-06-19,17,49266900.0,534364,Transfer,Outside_bank,2019-06-19 17:00:00,1,2.0,1,7,363992128.0,1,4.0
72411,2019-06-19,17,200000.0,837296,Transfer,Within_bank,2019-06-19 17:00:00,0,2.0,1,8,364192128.0,1,4.0
72411,2019-06-19,19,141625300.0,211420,Transfer,Outside_bank,2019-06-19 19:00:00,0,2.0,1,9,331613948.0,1,4.0
72411,2019-06-20,10,26369659.0,140967,Transfer,Outside_bank,2019-06-20 10:00:00,0,2.0,1,9,341967507.0,1,4.0
72411,2019-06-20,15,1500000.0,126928,Transfer,Outside_bank,2019-06-20 15:00:00,0,2.0,1,6,268341209.0,1,4.0
235316,2019-07-09,20,98996500.0,393490,Transfer,Outside_bank,2019-07-09 20:00:00,1,2.0,1,3,198926519.0,1,4.0
131188,2019-11-12,13,198500000.0,837296,Transfer,Outside_bank,2019-11-12 13:00:00,1,2.0,1,4,367200000.0,1,4.0
235316,2019-07-10,18,10537000.0,607366,Transfer,Outside_bank,2019-07-10 18:00:00,0,2.0,1,4,204183519.0,1,4.0
393920,2019-07-23,17,91120000.0,772602,Transfer,Outside_bank,2019-07-23 17:00:00,1,2.0,1,4,164567000.0,1,4.0
393920,2019-07-23,21,130000000.0,688978,Transfer,Outside_bank,2019-07-23 21:00:00,0,2.0,1,5,293079000.0,1,4.0
208586,2019-07-22,21,45000000.0,104374,Transfer,Outside_bank,2019-07-22 21:00:00,1,2.0,1,4,311690000.0,1,4.0
427722,2019-12-15,12,300000.0,219488,Transfer,Outside_bank,2019-12-15 12:00:00,0,2.0,1,12,286354000.0,1,4.0
225770,2019-10-19,9,190000000.0,209225,Transfer,Outside_bank,2019-10-19 09:00:00,1,2.0,1,3,685000000.0,1,4.0
225770,2019-10-19,13,2000000.0,461788,Transfer,Outside_bank,2019-10-19 13:00:00,0,2.0,1,3,387000000.0,1,4.0
208370,2019-10-28,14,93500000.0,416379,Transfer,Outside_bank,2019-10-28 14:00:00,1,2.0,1,16,316065000.0,1,4.0
72411,2019-06-22,20,45470000.0,797163,Transfer,Outside_bank,2019-06-22 20:00:00,1,2.0,1,4,599981280.0,1,4.0
72411,2019-06-23,10,24496000.0,60220,Transfer,Outside_bank,2019-06-23 10:00:00,0,2.0,1,4,524477280.0,1,4.0
208370,2019-10-28,15,3000000.0,816983,Transfer,Outside_bank,2019-10-28 15:00:00,0,2.0,1,16,291025000.0,1,4.0
193102,2019-09-09,9,46640308.0,996030,Transfer,Outside_bank,2019-09-09 09:00:00,1,2.0,1,3,434036308.0,1,4.0
193102,2019-09-09,10,124303901.0,91021,Transfer,Outside_bank,2019-09-09 10:00:00,0,2.0,1,4,558340209.0,1,4.0
208370,2019-10-28,16,17500000.0,550110,Transfer,Outside_bank,2019-10-28 16:00:00,0,2.0,1,16,307525000.0,1,4.0
208370,2019-10-28,17,38500000.0,191343,Transfer,Outside_bank,2019-10-28 17:00:00,0,2.0,1,16,317835000.0,1,4.0
72411,2019-03-14,23,93180020.0,31253,Transfer,Outside_bank,2019-03-14 23:00:00,1,2.0,1,10,492937047.0,1,4.0
72411,2019-03-15,0,2000000.0,810147,Transfer,Outside_bank,2019-03-15 00:00:00,0,2.0,1,11,431016047.0,1,4.0
72411,2019-03-15,16,12722000.0,827479,Transfer,Outside_bank,2019-03-15 16:00:00,0,2.0,1,6,308276428.0,1,4.0
72411,2019-03-15,19,151231000.0,554579,Transfer,Outside_bank,2019-03-15 19:00:00,0,2.0,1,7,307815620.0,1,4.0
208370,2019-10-28,18,5000000.0,104466,Transfer,Outside_bank,2019-10-28 18:00:00,0,2.0,1,16,316635000.0,1,4.0
202254,2019-06-22,10,45900000.0,825743,Transfer,Outside_bank,2019-06-22 10:00:00,1,2.0,1,4,253540000.0,1,4.0
202254,2019-06-22,11,7950000.0,331498,Transfer,Outside_bank,2019-06-22 11:00:00,0,2.0,1,5,261490000.0,1,4.0
199908,2019-10-21,14,45425070.0,862512,Transfer,Outside_bank,2019-10-21 14:00:00,1,2.0,1,6,319340557.0,1,4.0
199908,2019-10-21,15,41345000.0,515893,Transfer,Outside_bank,2019-10-21 15:00:00,0,2.0,1,7,360685557.0,1,4.0
202254,2019-06-22,12,2000000.0,181980,Transfer,Outside_bank,2019-06-22 12:00:00,0,2.0,1,6,263490000.0,1,4.0
356856,2019-09-11,11,181826000.0,693957,Transfer,Within_bank,2019-09-11 11:00:00,1,2.0,1,5,1242564000.0,1,4.0
72411,2019-06-27,17,96639130.0,200990,Transfer,Outside_bank,2019-06-27 17:00:00,1,2.0,1,5,325649130.0,1,4.0
72411,2019-06-27,19,241623900.0,308392,Transfer,Outside_bank,2019-06-27 19:00:00,0,2.0,1,6,567273030.0,1,4.0
72411,2019-06-27,20,100884600.0,326884,Transfer,Outside_bank,2019-06-27 20:00:00,0,2.0,1,7,499122630.0,1,4.0
72411,2019-06-28,11,15419600.0,111834,Transfer,Outside_bank,2019-06-28 11:00:00,0,2.0,1,7,514542230.0,1,4.0
72411,2019-06-28,12,71271000.0,73143,Transfer,Outside_bank,2019-06-28 12:00:00,0,2.0,1,8,585813230.0,1,4.0
72411,2019-06-28,13,3330000.0,596000,Transfer,Outside_bank,2019-06-28 13:00:00,0,2.0,1,9,589143230.0,1,4.0
72411,2019-06-28,15,29151000.0,581381,Transfer,Outside_bank,2019-06-28 15:00:00,0,2.0,1,9,607301230.0,1,4.0
72411,2019-06-28,15,512000.0,328591,Transfer,Within_bank,2019-06-28 15:00:00,0,2.0,1,10,607813230.0,1,4.0
356856,2019-09-11,12,12000000.0,232917,Transfer,Outside_bank,2019-09-11 12:00:00,0,2.0,1,6,1254564000.0,1,4.0
356856,2019-09-11,14,2400000.0,642447,Transfer,Within_bank,2019-09-11 14:00:00,0,2.0,1,7,256964000.0,1,4.0
284288,2019-12-31,17,185068500.0,491829,Transfer,Outside_bank,2019-12-31 17:00:00,1,2.0,1,7,560689462.0,1,4.0
129100,2019-12-23,19,45000000.0,595668,Transfer,Within_bank,2019-12-23 19:00:00,1,2.0,1,6,237000000.0,1,4.0
160339,2019-04-23,11,47120000.0,7496,Transfer,Outside_bank,2019-04-23 11:00:00,1,2.0,1,12,620422000.0,1,4.0
160339,2019-04-23,14,164080000.0,84135,Transfer,Outside_bank,2019-04-23 14:00:00,0,2.0,1,10,561780000.0,1,4.0
131188,2019-12-02,20,98000000.0,591693,Transfer,Outside_bank,2019-12-02 20:00:00,1,2.0,1,4,323300000.0,1,4.0
72411,2019-06-30,11,48851550.0,744075,Transfer,Outside_bank,2019-06-30 11:00:00,1,2.0,1,4,296178350.0,1,4.0
72411,2019-06-30,18,63775000.0,949495,Transfer,Outside_bank,2019-06-30 18:00:00,0,2.0,1,4,321590350.0,1,4.0
72411,2019-06-30,19,85723240.0,313365,Transfer,Outside_bank,2019-06-30 19:00:00,0,2.0,1,5,246762390.0,1,4.0
72411,2019-06-30,20,140000000.0,354093,Transfer,Outside_bank,2019-06-30 20:00:00,0,2.0,1,5,386762390.0,1,4.0
72411,2019-06-30,23,15800000.0,754562,Transfer,Outside_bank,2019-06-30 23:00:00,0,2.0,1,6,402562390.0,1,4.0
131188,2019-12-02,21,2000000.0,995400,Transfer,Outside_bank,2019-12-02 21:00:00,0,2.0,1,5,325300000.0,1,4.0
131188,2019-12-03,10,100000.0,NaN,Topup,Mobile,2019-12-03 10:00:00,0,2.0,1,4,305900000.0,1,4.0
131188,2019-12-03,11,20000000.0,159107,Transfer,Outside_bank,2019-12-03 11:00:00,0,2.0,1,5,325900000.0,1,4.0
131188,2019-12-03,13,1000000.0,953030,Transfer,Outside_bank,2019-12-03 13:00:00,0,2.0,1,6,326900000.0,1,4.0
160339,2019-04-23,15,24000000.0,163357,Transfer,Outside_bank,2019-04-23 15:00:00,0,2.0,1,10,585780000.0,1,4.0
112915,2019-07-03,17,47241026.0,900547,Transfer,Outside_bank,2019-07-03 17:00:00,1,2.0,1,4,101768240.0,1,4.0
160339,2019-04-23,16,14069400.0,878147,Transfer,Outside_bank,2019-04-23 16:00:00,0,2.0,1,11,599849400.0,1,4.0
160339,2019-04-24,3,5400000.0,314752,Transfer,Outside_bank,2019-04-24 03:00:00,0,2.0,1,11,589309400.0,1,4.0
160339,2019-04-24,5,40000000.0,758123,Transfer,Outside_bank,2019-04-24 05:00:00,0,2.0,1,12,627989400.0,1,4.0
160339,2019-08-01,16,46780000.0,766035,Transfer,Outside_bank,2019-08-01 16:00:00,1,2.0,1,11,398863000.0,1,4.0
160339,2019-08-01,18,340000.0,907902,Transfer,Outside_bank,2019-08-01 18:00:00,0,2.0,1,11,399153000.0,1,4.0
284288,2019-12-31,18,26346000.0,565054,Transfer,Outside_bank,2019-12-31 18:00:00,0,2.0,1,6,381960462.0,1,4.0
7012,2019-10-17,20,96066500.0,735508,Transfer,Outside_bank,2019-10-17 20:00:00,1,2.0,1,4,142503000.0,1,4.0
7012,2019-10-17,21,144615000.0,363647,Transfer,Outside_bank,2019-10-17 21:00:00,0,2.0,1,4,287118000.0,1,4.0
7012,2019-10-17,22,89816210.0,734992,Transfer,Outside_bank,2019-10-17 22:00:00,0,2.0,1,5,376934210.0,1,4.0
7012,2019-10-18,10,15000000.0,485785,Transfer,Outside_bank,2019-10-18 10:00:00,0,2.0,1,5,390934210.0,1,4.0
7012,2019-10-18,15,1000000.0,433534,Transfer,Outside_bank,2019-10-18 15:00:00,0,2.0,1,6,391934210.0,1,4.0
7012,2019-10-18,16,65611000.0,41670,Transfer,Outside_bank,2019-10-18 16:00:00,0,2.0,1,7,457545210.0,1,4.0
7012,2019-10-18,17,90478000.0,20903,Transfer,Outside_bank,2019-10-18 17:00:00,1,3.0,1,8,548023210.0,1,4.0
7012,2019-10-18,18,136911000.0,146750,Transfer,Outside_bank,2019-10-18 18:00:00,0,3.0,1,9,684934210.0,1,4.0
7012,2019-10-18,19,184965000.0,183881,Transfer,Outside_bank,2019-10-18 19:00:00,1,3.0,1,10,824462710.0,1,4.0
7012,2019-10-19,9,11000000.0,587624,Transfer,Outside_bank,2019-10-19 09:00:00,0,2.0,1,7,504965000.0,1,4.0
7012,2019-10-19,10,50600000.0,333582,Transfer,Outside_bank,2019-10-19 10:00:00,0,2.0,1,8,540565000.0,1,4.0
7012,2019-10-19,11,134308760.0,758123,Transfer,Outside_bank,2019-10-19 11:00:00,0,2.0,1,8,674873760.0,1,4.0
7012,2019-10-19,12,163359480.0,184189,Transfer,Outside_bank,2019-10-19 12:00:00,0,2.0,1,9,838233240.0,1,4.0
284288,2019-12-31,19,16000000.0,435290,Transfer,Outside_bank,2019-12-31 19:00:00,0,2.0,1,6,279550462.0,1,4.0
356856,2019-09-11,14,26667000.0,917112,Transfer,Outside_bank,2019-09-11 14:00:00,0,2.0,1,8,283631000.0,1,4.0
346091,2019-12-20,15,95900000.0,22182,Transfer,Outside_bank,2019-12-20 15:00:00,1,2.0,1,3,186090000.0,1,4.0
356856,2019-09-11,15,5527000.0,388899,Transfer,Outside_bank,2019-09-11 15:00:00,0,2.0,1,8,289158000.0,1,4.0
356856,2019-09-11,15,1800000.0,385346,Transfer,Within_bank,2019-09-11 15:00:00,0,2.0,1,9,290958000.0,1,4.0
356856,2019-09-11,17,30000000.0,260947,Transfer,Outside_bank,2019-09-11 17:00:00,0,2.0,1,10,320958000.0,1,4.0
72411,2019-09-28,21,46700000.0,944719,Transfer,Outside_bank,2019-09-28 21:00:00,1,2.0,1,3,201150850.0,1,4.0
356856,2019-09-11,17,105000000.0,835762,Transfer,Within_bank,2019-09-11 17:00:00,0,2.0,1,11,425958000.0,1,4.0
292247,2019-09-18,18,97800000.0,19703,Transfer,Outside_bank,2019-09-18 18:00:00,1,2.0,1,7,354827370.0,1,4.0
292247,2019-09-18,19,71059000.0,337376,Transfer,Outside_bank,2019-09-18 19:00:00,0,2.0,1,7,301316370.0,1,4.0
235316,2019-10-09,19,97901030.0,350884,Transfer,Outside_bank,2019-10-09 19:00:00,1,2.0,1,7,217614030.0,1,4.0
292247,2019-09-18,19,1400000.0,676990,Transfer,Within_bank,2019-09-18 19:00:00,0,2.0,1,8,302716370.0,1,4.0
356856,2019-09-11,18,5000000.0,953277,Transfer,Outside_bank,2019-09-11 18:00:00,0,2.0,1,12,430958000.0,1,4.0
348242,2019-10-16,10,47743000.0,335329,Transfer,Outside_bank,2019-10-16 10:00:00,1,2.0,1,4,497531800.0,1,4.0
317017,2019-05-18,19,199000000.0,258032,Transfer,Outside_bank,2019-05-18 19:00:00,1,2.0,1,4,294220000.0,1,4.0
348242,2019-10-16,11,113375610.0,403006,Transfer,Outside_bank,2019-10-16 11:00:00,0,2.0,1,5,610907410.0,1,4.0
348242,2019-10-16,12,30982781.0,208519,Transfer,Outside_bank,2019-10-16 12:00:00,0,2.0,1,6,641890191.0,1,4.0
225770,2019-11-23,9,94000000.0,93112,Transfer,Outside_bank,2019-11-23 09:00:00,1,2.0,1,3,334000000.0,1,4.0
225770,2019-11-23,10,5150000.0,555112,Transfer,Outside_bank,2019-11-23 10:00:00,0,2.0,1,4,189150000.0,1,4.0
225770,2019-11-23,12,21000000.0,739104,Transfer,Outside_bank,2019-11-23 12:00:00,0,2.0,1,4,210150000.0,1,4.0
160339,2019-04-26,20,90500000.0,906017,Transfer,Outside_bank,2019-04-26 20:00:00,1,2.0,1,9,366156000.0,1,4.0
72411,2019-10-08,7,96450000.0,986750,Transfer,Outside_bank,2019-10-08 07:00:00,1,2.0,1,3,591859040.0,1,4.0
72411,2019-10-08,8,53950000.0,768419,Transfer,Outside_bank,2019-10-08 08:00:00,0,2.0,1,4,645809040.0,1,4.0
72411,2019-10-08,9,9705050.0,612606,Transfer,Outside_bank,2019-10-08 09:00:00,0,2.0,1,5,655514090.0,1,4.0
160339,2019-04-26,21,40000000.0,50420,Transfer,Outside_bank,2019-04-26 21:00:00,0,2.0,1,10,406156000.0,1,4.0
160339,2019-04-26,22,37700000.0,37771,Transfer,Outside_bank,2019-04-26 22:00:00,0,2.0,1,11,443856000.0,1,4.0
160339,2019-04-26,23,148860000.0,559166,Transfer,Outside_bank,2019-04-26 23:00:00,0,2.0,1,12,592716000.0,1,4.0
160339,2019-04-27,10,92000000.0,43137,Transfer,Outside_bank,2019-04-27 10:00:00,1,2.0,1,6,439060000.0,1,4.0
160339,2019-04-27,11,42760000.0,832548,Transfer,Outside_bank,2019-04-27 11:00:00,0,2.0,1,7,481820000.0,1,4.0
160339,2019-04-27,15,208948400.0,162570,Transfer,Outside_bank,2019-04-27 15:00:00,0,2.0,1,8,690768400.0,1,4.0
160339,2019-04-27,16,63934000.0,456457,Transfer,Outside_bank,2019-04-27 16:00:00,0,2.0,1,9,754702400.0,1,4.0
160339,2019-04-27,17,1300000.0,68285,Transfer,Outside_bank,2019-04-27 17:00:00,0,2.0,1,10,756002400.0,1,4.0
4391,2019-12-18,16,47450000.0,759835,Transfer,Outside_bank,2019-12-18 16:00:00,1,2.0,1,3,159320000.0,1,4.0
348242,2019-09-21,20,197851099.0,202459,Transfer,Outside_bank,2019-09-21 20:00:00,1,2.0,1,7,322789659.0,1,4.0
88698,2019-10-21,8,90000000.0,89066,Transfer,Outside_bank,2019-10-21 08:00:00,1,2.0,1,6,222000000.0,1,4.0
88698,2019-10-21,12,19000000.0,379014,Transfer,Outside_bank,2019-10-21 12:00:00,0,2.0,1,7,241000000.0,1,4.0
88698,2019-10-21,16,78000000.0,34261,Transfer,Outside_bank,2019-10-21 16:00:00,0,2.0,1,8,319000000.0,1,4.0
339454,2019-11-23,13,190000000.0,208406,Transfer,Outside_bank,2019-11-23 13:00:00,1,2.0,1,4,548134457.0,1,4.0
348242,2019-09-22,19,91649300.0,270284,Transfer,Outside_bank,2019-09-22 19:00:00,1,2.0,1,3,296730899.0,1,4.0
261469,2019-10-29,18,185150000.0,472852,Transfer,Outside_bank,2019-10-29 18:00:00,1,2.0,1,4,398954000.0,1,4.0
348242,2019-10-16,13,18695500.0,158836,Transfer,Outside_bank,2019-10-16 13:00:00,0,2.0,1,7,660585691.0,1,4.0
356856,2019-09-12,9,10000000.0,406218,Transfer,Outside_bank,2019-09-12 09:00:00,0,2.0,1,13,430958000.0,1,4.0
348242,2019-10-16,21,99318009.0,316045,Transfer,Outside_bank,2019-10-16 21:00:00,1,2.0,1,7,315514900.0,1,4.0
317017,2019-04-07,19,99000000.0,363647,Transfer,Outside_bank,2019-04-07 19:00:00,1,2.0,1,3,399258618.0,1,4.0
292247,2019-08-31,7,192951200.0,687504,Transfer,Outside_bank,2019-08-31 07:00:00,1,2.0,1,7,438080180.0,1,4.0
292247,2019-08-31,8,48237380.0,363647,Transfer,Outside_bank,2019-08-31 08:00:00,1,3.0,1,8,477727560.0,1,4.0
292247,2019-08-31,18,55350000.0,364279,Transfer,Outside_bank,2019-08-31 18:00:00,0,3.0,1,7,525047560.0,1,4.0
105606,2019-08-30,10,450000000.0,114375,Transfer,Outside_bank,2019-08-30 10:00:00,1,2.0,1,5,910855789.0,1,4.0
292247,2019-08-31,19,147697500.0,236643,Transfer,Outside_bank,2019-08-31 19:00:00,0,3.0,1,8,594431560.0,1,4.0
292247,2019-09-01,6,34244040.0,993526,Transfer,Outside_bank,2019-09-01 06:00:00,0,2.0,1,6,478480120.0,1,4.0
356856,2019-09-12,10,4800000.0,307083,Transfer,Outside_bank,2019-09-12 10:00:00,0,2.0,1,13,430758000.0,1,4.0
348242,2019-12-27,12,49391500.0,542100,Transfer,Outside_bank,2019-12-27 12:00:00,1,2.0,1,7,201878995.0,1,4.0
72411,2019-04-14,20,95039000.0,924029,Transfer,Outside_bank,2019-04-14 20:00:00,1,2.0,1,5,346733100.0,1,4.0
72411,2019-04-15,12,5000000.0,963672,Transfer,Outside_bank,2019-04-15 12:00:00,0,2.0,1,4,301076800.0,1,4.0
348242,2019-12-27,13,37147000.0,344849,Transfer,Outside_bank,2019-12-27 13:00:00,0,2.0,1,8,239025995.0,1,4.0
160339,2019-05-30,19,47500000.0,108040,Transfer,Outside_bank,2019-05-30 19:00:00,1,2.0,1,17,441556000.0,1,4.0
160339,2019-05-30,20,6000000.0,450535,Transfer,Outside_bank,2019-05-30 20:00:00,0,2.0,1,18,384356000.0,1,4.0
348242,2019-10-17,19,188724000.0,226050,Transfer,Outside_bank,2019-10-17 19:00:00,1,2.0,1,6,483947009.0,1,4.0
348242,2019-10-17,21,90404960.0,403776,Transfer,Outside_bank,2019-10-17 21:00:00,1,2.0,1,6,469633960.0,1,4.0
348242,2019-10-17,22,19469000.0,986425,Transfer,Outside_bank,2019-10-17 22:00:00,0,2.0,1,6,489102960.0,1,4.0
348242,2019-10-18,10,10000000.0,683329,Transfer,Outside_bank,2019-10-18 10:00:00,0,2.0,1,7,498602960.0,1,4.0
348242,2019-10-18,16,123406000.0,758279,Transfer,Outside_bank,2019-10-18 16:00:00,0,2.0,1,7,622008960.0,1,4.0
348242,2019-10-18,17,86395000.0,810147,Transfer,Outside_bank,2019-10-18 17:00:00,0,2.0,1,8,652344960.0,1,4.0
165086,2019-09-20,14,98838197.0,547573,Transfer,Outside_bank,2019-09-20 14:00:00,1,2.0,1,6,216224197.0,1,4.0
165086,2019-09-20,16,800000.0,272258,Transfer,Outside_bank,2019-09-20 16:00:00,0,2.0,1,7,217024197.0,1,4.0
165086,2019-09-21,7,600000.0,807794,Transfer,Outside_bank,2019-09-21 07:00:00,0,2.0,1,6,204862197.0,1,4.0
72411,2019-10-17,7,98041000.0,975853,Transfer,Outside_bank,2019-10-17 07:00:00,1,2.0,1,8,368864050.0,1,4.0
72411,2019-10-17,8,400000.0,474456,Transfer,Within_bank,2019-10-17 08:00:00,0,2.0,1,9,369264050.0,1,4.0
72411,2019-10-17,8,3000000.0,245438,Transfer,Outside_bank,2019-10-17 08:00:00,0,2.0,1,10,372264050.0,1,4.0
72411,2019-10-17,9,19372000.0,500129,Transfer,Outside_bank,2019-10-17 09:00:00,0,2.0,1,11,391636050.0,1,4.0
72411,2019-10-17,10,50444000.0,388140,Transfer,Outside_bank,2019-10-17 10:00:00,0,2.0,1,12,442080050.0,1,4.0
72411,2019-10-17,11,51283500.0,69129,Transfer,Outside_bank,2019-10-17 11:00:00,0,2.0,1,13,493363550.0,1,4.0
72411,2019-10-17,12,3950000.0,800371,Transfer,Outside_bank,2019-10-17 12:00:00,0,2.0,1,14,477313550.0,1,4.0
72411,2019-10-17,20,184997000.0,416861,Transfer,Outside_bank,2019-10-17 20:00:00,1,2.0,1,12,559043500.0,1,4.0
72411,2019-10-17,21,85581000.0,498388,Transfer,Outside_bank,2019-10-17 21:00:00,0,2.0,1,13,644624500.0,1,4.0
72411,2019-10-18,6,11774000.0,758036,Transfer,Outside_bank,2019-10-18 06:00:00,0,2.0,1,11,508842500.0,1,4.0
246337,2019-08-22,9,47000000.0,777368,Transfer,Outside_bank,2019-08-22 09:00:00,1,2.0,1,3,193220000.0,1,4.0
348242,2019-12-27,20,103017660.0,856714,Transfer,Outside_bank,2019-12-27 20:00:00,0,2.0,1,9,342043655.0,1,4.0
348242,2019-12-20,20,180697000.0,288853,Transfer,Outside_bank,2019-12-20 20:00:00,1,2.0,1,5,515221000.0,1,4.0
348242,2019-12-20,21,25634500.0,50319,Transfer,Outside_bank,2019-12-20 21:00:00,0,2.0,1,5,480072500.0,1,4.0
348242,2019-12-21,7,14800000.0,773405,Transfer,Outside_bank,2019-12-21 07:00:00,0,2.0,1,5,494872500.0,1,4.0
348242,2019-12-21,10,42383000.0,813006,Transfer,Outside_bank,2019-12-21 10:00:00,0,2.0,1,6,537255500.0,1,4.0
235316,2019-08-23,18,94400000.0,666409,Transfer,Outside_bank,2019-08-23 18:00:00,1,2.0,1,3,282506000.0,1,4.0
348242,2019-12-21,11,28852000.0,424315,Transfer,Outside_bank,2019-12-21 11:00:00,0,2.0,1,7,566107500.0,1,4.0
348242,2019-12-21,12,66993000.0,657626,Transfer,Outside_bank,2019-12-21 12:00:00,0,2.0,1,8,633100500.0,1,4.0
348242,2019-12-21,13,86900000.0,940909,Transfer,Outside_bank,2019-12-21 13:00:00,0,2.0,1,9,720000500.0,1,4.0
348242,2019-12-21,17,42687000.0,917112,Transfer,Outside_bank,2019-12-21 17:00:00,0,2.0,1,10,762687500.0,1,4.0
348242,2019-12-21,18,120556000.0,739466,Transfer,Outside_bank,2019-12-21 18:00:00,0,2.0,1,11,796107500.0,1,4.0
317017,2019-04-18,20,194893000.0,486067,Transfer,Outside_bank,2019-04-18 20:00:00,1,2.0,1,4,296369000.0,1,4.0
348242,2019-12-27,21,9510000.0,572344,Transfer,Outside_bank,2019-12-27 21:00:00,0,2.0,1,10,351553655.0,1,4.0
292247,2019-09-26,19,99041499.0,906633,Transfer,Outside_bank,2019-09-26 19:00:00,1,2.0,1,7,450988999.0,1,4.0
292247,2019-09-27,6,5489000.0,631443,Transfer,Outside_bank,2019-09-27 06:00:00,0,2.0,1,7,456477999.0,1,4.0
261469,2019-11-16,16,48711000.0,712620,Transfer,Outside_bank,2019-11-16 16:00:00,1,2.0,1,7,266610000.0,1,4.0
261469,2019-11-16,17,4425000.0,368813,Transfer,Outside_bank,2019-11-16 17:00:00,0,2.0,1,8,271035000.0,1,4.0
