CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,Device_OS,ts_dt,tx_id,prev_os,prev_ts,is_os_changed,time_diff_hours,IS_OS_DRIFT,IS_RARE_OS,risk_score
7870,2019-12-04,22,34886.0,WEB,2019-12-04 22:00:00,1021282,ANDROID,2019-12-04 09:00:00,1,13.0,1,0,2.0
8256,2019-08-13,14,128000.0,ANDROID,2019-08-13 14:00:00,300102,WEB,2019-08-13 13:00:00,1,1.0,1,0,2.0
8517,2019-10-21,9,500000.0,WEB,2019-10-21 09:00:00,837521,IOS,2019-10-20 12:00:00,1,21.0,1,0,2.0
8517,2019-12-06,8,220000.0,WEB,2019-12-06 08:00:00,837501,IOS,2019-12-05 13:00:00,1,19.0,1,0,2.0
8531,2019-10-27,16,2500000.0,ANDROID,2019-10-27 16:00:00,700875,WEB,2019-10-27 09:00:00,1,7.0,1,0,2.0
8566,2019-09-01,10,30000000.0,WEB,2019-09-01 10:00:00,9088,ANDROID,2019-09-01 08:00:00,1,2.0,1,0,2.0
8566,2019-12-28,11,150000000.0,WEB,2019-12-28 11:00:00,9112,IOS,2019-12-28 09:00:00,1,2.0,1,0,2.0
8635,2019-11-13,18,675000.0,IOS,2019-11-13 18:00:00,633610,ANDROID,2019-11-13 15:00:00,1,3.0,1,0,2.0
8828,2019-10-22,0,4000000.0,ANDROID,2019-10-22 00:00:00,690081,IOS,2019-10-21 10:00:00,1,14.0,1,0,2.0
8994,2019-12-19,12,1000000.0,ANDROID,2019-12-19 12:00:00,988559,IOS,2019-12-19 10:00:00,1,2.0,1,0,2.0
8994,2019-12-20,10,250000.0,IOS,2019-12-20 10:00:00,988582,ANDROID,2019-12-19 14:00:00,1,20.0,1,0,2.0
9303,2019-09-25,13,250000.0,IOS,2019-09-25 13:00:00,119973,ANDROID,2019-09-24 21:00:00,1,16.0,1,0,2.0
9303,2019-09-25,19,3701000.0,WEB,2019-09-25 19:00:00,120057,IOS,2019-09-25 13:00:00,1,6.0,1,0,2.0
9303,2019-12-19,10,5000000.0,ANDROID,2019-12-19 10:00:00,120164,IOS,2019-12-18 19:00:00,1,15.0,1,0,2.0
9490,2019-11-28,14,19000000.0,ANDROID,2019-11-28 14:00:00,1247993,WEB,2019-11-28 10:00:00,1,4.0,1,0,2.0
9490,2019-11-29,10,10000000.0,WEB,2019-11-29 10:00:00,1248013,ANDROID,2019-11-28 14:00:00,1,20.0,1,0,2.0
9578,2019-12-31,15,1576000.0,IOS,2019-12-31 15:00:00,957359,WEB,2019-12-31 14:00:00,1,1.0,1,0,2.0
9578,2019-12-31,18,1900000.0,WEB,2019-12-31 18:00:00,957367,IOS,2019-12-31 15:00:00,1,3.0,1,0,2.0
9589,2019-12-14,9,14000.0,IOS,2019-12-14 09:00:00,897408,WEB,2019-12-13 15:00:00,1,18.0,1,0,2.0
9711,2019-09-09,15,400000.0,WEB,2019-09-09 15:00:00,1005223,ANDROID,2019-09-08 21:00:00,1,18.0,1,0,2.0
10026,2019-12-13,14,6000000.0,IOS,2019-12-13 14:00:00,1202951,WEB,2019-12-13 09:00:00,1,5.0,1,0,2.0
10026,2019-12-14,9,1500000.0,ANDROID,2019-12-14 09:00:00,1202954,IOS,2019-12-13 14:00:00,1,19.0,1,0,2.0
10399,2019-08-13,11,100000.0,ANDROID,2019-08-13 11:00:00,786778,IOS,2019-08-12 13:00:00,1,22.0,1,0,2.0
10441,2019-11-17,12,100000.0,IOS,2019-11-17 12:00:00,886593,WEB,2019-11-16 15:00:00,1,21.0,1,0,2.0
10448,2019-08-29,19,4000000.0,WEB,2019-08-29 19:00:00,94207,IOS,2019-08-28 21:00:00,1,22.0,1,0,2.0
10529,2019-09-12,14,200000.0,WEB,2019-09-12 14:00:00,717213,ANDROID,2019-09-12 09:00:00,1,5.0,1,0,2.0
10639,2019-11-26,17,400000.0,IOS,2019-11-26 17:00:00,396662,ANDROID,2019-11-25 22:00:00,1,19.0,1,0,2.0
10663,2019-12-10,16,900000.0,WEB,2019-12-10 16:00:00,1227635,ANDROID,2019-12-09 18:00:00,1,22.0,1,0,2.0
10663,2019-12-17,7,100000.0,IOS,2019-12-17 07:00:00,1227640,ANDROID,2019-12-16 18:00:00,1,13.0,1,0,2.0
11917,2019-11-01,11,1575000.0,WEB,2019-11-01 11:00:00,991607,IOS,2019-11-01 11:00:00,1,0.0,1,0,2.0
11917,2019-11-02,9,500000.0,ANDROID,2019-11-02 09:00:00,991594,WEB,2019-11-01 11:00:00,1,22.0,1,0,2.0
11917,2019-12-01,21,50000.0,WEB,2019-12-01 21:00:00,991672,IOS,2019-12-01 09:00:00,1,12.0,1,0,2.0
11917,2019-12-23,18,370000.0,WEB,2019-12-23 18:00:00,991675,ANDROID,2019-12-22 23:00:00,1,19.0,1,0,2.0
11944,2019-06-26,0,400000.0,ANDROID,2019-06-26 00:00:00,525124,WEB,2019-06-25 22:00:00,1,2.0,1,0,2.0
12026,2019-12-26,10,500000.0,IOS,2019-12-26 10:00:00,776208,WEB,2019-12-25 11:00:00,1,23.0,1,0,2.0
12037,2019-08-15,18,100000.0,WEB,2019-08-15 18:00:00,409085,IOS,2019-08-15 16:00:00,1,2.0,1,0,2.0
12124,2019-10-01,13,20000.0,ANDROID,2019-10-01 13:00:00,910463,WEB,2019-09-30 14:00:00,1,23.0,1,0,2.0
12399,2019-07-16,12,10000.0,IOS,2019-07-16 12:00:00,964708,WEB,2019-07-16 08:00:00,1,4.0,1,0,2.0
12530,2019-01-30,15,3000000.0,WEB,2019-01-30 15:00:00,14465,ANDROID,2019-01-30 13:00:00,1,2.0,1,0,2.0
12530,2019-01-31,9,1000000.0,IOS,2019-01-31 09:00:00,14450,WEB,2019-01-30 15:00:00,1,18.0,1,0,2.0
12718,2019-11-16,13,25000.0,WEB,2019-11-16 13:00:00,444651,IOS,2019-11-15 17:00:00,1,20.0,1,0,2.0
13625,2019-11-26,12,50000.0,ANDROID,2019-11-26 12:00:00,1160556,IOS,2019-11-25 18:00:00,1,18.0,1,0,2.0
13625,2019-11-27,8,6000000.0,IOS,2019-11-27 08:00:00,1160535,ANDROID,2019-11-26 19:00:00,1,13.0,1,0,2.0
14201,2019-12-18,9,250000.0,IOS,2019-12-18 09:00:00,1193448,ANDROID,2019-12-17 20:00:00,1,13.0,1,0,2.0
14301,2019-09-08,17,53000.0,WEB,2019-09-08 17:00:00,1357250,IOS,2019-09-08 17:00:00,1,0.0,1,0,2.0
14871,2019-05-31,20,150000000.0,IOS,2019-05-31 20:00:00,320802,ANDROID,2019-05-31 18:00:00,1,2.0,1,0,2.0
14939,2019-12-16,13,10000.0,WEB,2019-12-16 13:00:00,974681,IOS,2019-12-15 17:00:00,1,20.0,1,0,2.0
14962,2019-08-16,10,1000000.0,ANDROID,2019-08-16 10:00:00,967359,IOS,2019-08-15 11:00:00,1,23.0,1,0,2.0
15034,2019-12-16,10,10000.0,WEB,2019-12-16 10:00:00,1385205,IOS,2019-12-16 09:00:00,1,1.0,1,0,2.0
15165,2019-11-11,8,200000.0,ANDROID,2019-11-11 08:00:00,1216019,IOS,2019-11-10 22:00:00,1,10.0,1,0,2.0
15165,2019-11-11,13,2050000.0,IOS,2019-11-11 13:00:00,1216018,ANDROID,2019-11-11 12:00:00,1,1.0,1,0,2.0
15165,2019-11-11,16,1550000.0,ANDROID,2019-11-11 16:00:00,1216031,IOS,2019-11-11 15:00:00,1,1.0,1,0,2.0
15169,2019-12-07,19,500000.0,ANDROID,2019-12-07 19:00:00,1004857,WEB,2019-12-07 10:00:00,1,9.0,1,0,2.0
15169,2019-12-08,8,100000.0,WEB,2019-12-08 08:00:00,1004852,ANDROID,2019-12-07 19:00:00,1,13.0,1,0,2.0
15572,2019-09-19,17,22000.0,WEB,2019-09-19 17:00:00,644663,IOS,2019-09-18 18:00:00,1,23.0,1,0,2.0
15764,2019-12-02,10,1000000.0,WEB,2019-12-02 10:00:00,717029,IOS,2019-12-02 09:00:00,1,1.0,1,0,2.0
15764,2019-12-03,8,84000000.0,ANDROID,2019-12-03 08:00:00,716993,WEB,2019-12-02 22:00:00,1,10.0,1,0,2.0
15938,2019-08-07,15,16100000.0,IOS,2019-08-07 15:00:00,583026,ANDROID,2019-08-06 20:00:00,1,19.0,1,0,2.0
16120,2019-10-10,10,78190000.0,ANDROID,2019-10-10 10:00:00,740434,IOS,2019-10-09 16:00:00,1,18.0,1,0,2.0
16343,2019-07-24,14,9134079.0,ANDROID,2019-07-24 14:00:00,398571,IOS,2019-07-24 14:00:00,1,0.0,1,0,2.0
16376,2019-12-12,15,105000.0,ANDROID,2019-12-12 15:00:00,383719,WEB,2019-12-12 08:00:00,1,7.0,1,0,2.0
16376,2019-12-12,16,300000.0,IOS,2019-12-12 16:00:00,383730,ANDROID,2019-12-12 15:00:00,1,1.0,1,0,2.0
16565,2019-12-04,19,7500000.0,WEB,2019-12-04 19:00:00,1083661,IOS,2019-12-04 18:00:00,1,1.0,1,0,2.0
16565,2019-12-05,7,1750000.0,IOS,2019-12-05 07:00:00,1083646,WEB,2019-12-04 19:00:00,1,12.0,1,0,2.0
16705,2019-08-19,22,2770000.0,IOS,2019-08-19 22:00:00,823728,WEB,2019-08-19 07:00:00,1,15.0,1,0,2.0
16884,2019-10-28,13,1590000.0,ANDROID,2019-10-28 13:00:00,631038,IOS,2019-10-27 18:00:00,1,19.0,1,0,2.0
16884,2019-12-29,8,1500000.0,ANDROID,2019-12-29 08:00:00,631121,WEB,2019-12-28 17:00:00,1,15.0,1,0,2.0
16940,2019-11-14,10,14000.0,WEB,2019-11-14 10:00:00,38997,ANDROID,2019-11-13 20:00:00,1,14.0,1,0,2.0
16940,2019-11-15,12,26000.0,ANDROID,2019-11-15 12:00:00,38996,WEB,2019-11-14 15:00:00,1,21.0,1,0,2.0
17608,2019-12-24,17,6000000.0,WEB,2019-12-24 17:00:00,946169,ANDROID,2019-12-24 16:00:00,1,1.0,1,0,2.0
18244,2019-10-02,7,260000.0,IOS,2019-10-02 07:00:00,750022,ANDROID,2019-10-01 21:00:00,1,10.0,1,0,2.0
18244,2019-12-21,17,25000.0,IOS,2019-12-21 17:00:00,750028,ANDROID,2019-12-20 22:00:00,1,19.0,1,0,2.0
18313,2019-11-15,16,50000.0,IOS,2019-11-15 16:00:00,22801,ANDROID,2019-11-15 10:00:00,1,6.0,1,0,2.0
18773,2019-08-29,16,600000.0,IOS,2019-08-29 16:00:00,927776,ANDROID,2019-08-28 17:00:00,1,23.0,1,0,2.0
18883,2019-05-25,18,50000000.0,WEB,2019-05-25 18:00:00,142935,IOS,2019-05-25 17:00:00,1,1.0,1,0,2.0
18979,2019-12-10,15,520000.0,ANDROID,2019-12-10 15:00:00,1021719,IOS,2019-12-09 19:00:00,1,20.0,1,0,2.0
19251,2019-11-06,11,200000.0,WEB,2019-11-06 11:00:00,1226186,IOS,2019-11-05 22:00:00,1,13.0,1,0,2.0
19511,2019-10-25,17,10000000.0,IOS,2019-10-25 17:00:00,883944,ANDROID,2019-10-24 21:00:00,1,20.0,1,0,2.0
19511,2019-12-03,15,2035000.0,IOS,2019-12-03 15:00:00,883912,WEB,2019-12-02 16:00:00,1,23.0,1,0,2.0
19535,2019-11-22,16,20000000.0,WEB,2019-11-22 16:00:00,1153311,IOS,2019-11-22 13:00:00,1,3.0,1,0,2.0
19562,2019-11-23,12,150000.0,ANDROID,2019-11-23 12:00:00,1235619,WEB,2019-11-22 20:00:00,1,16.0,1,0,2.0
19743,2019-09-11,16,32400.0,IOS,2019-09-11 16:00:00,467941,ANDROID,2019-09-11 14:00:00,1,2.0,1,0,2.0
19933,2019-09-19,9,1000000.0,IOS,2019-09-19 09:00:00,955453,WEB,2019-09-18 18:00:00,1,15.0,1,0,2.0
20279,2019-09-28,13,500000.0,IOS,2019-09-28 13:00:00,909485,WEB,2019-09-27 16:00:00,1,21.0,1,0,2.0
21423,2019-12-22,20,500000.0,WEB,2019-12-22 20:00:00,1333027,ANDROID,2019-12-22 15:00:00,1,5.0,1,0,2.0
21959,2019-11-28,12,36000000.0,ANDROID,2019-11-28 12:00:00,240148,IOS,2019-11-27 21:00:00,1,15.0,1,0,2.0
22072,2019-12-11,21,9000000.0,WEB,2019-12-11 21:00:00,977494,IOS,2019-12-11 19:00:00,1,2.0,1,0,2.0
22072,2019-12-11,22,41400000.0,IOS,2019-12-11 22:00:00,977510,WEB,2019-12-11 21:00:00,1,1.0,1,0,2.0
22132,2019-11-11,16,100000.0,IOS,2019-11-11 16:00:00,1029822,WEB,2019-11-11 15:00:00,1,1.0,1,0,2.0
22132,2019-11-11,17,28000000.0,ANDROID,2019-11-11 17:00:00,1029846,IOS,2019-11-11 16:00:00,1,1.0,1,0,2.0
22132,2019-11-12,11,18000000.0,WEB,2019-11-12 11:00:00,1029805,ANDROID,2019-11-11 17:00:00,1,18.0,1,0,2.0
22222,2019-06-17,17,100000.0,WEB,2019-06-17 17:00:00,543389,ANDROID,2019-06-17 07:00:00,1,10.0,1,0,2.0
22222,2019-06-18,8,29000.0,IOS,2019-06-18 08:00:00,543478,WEB,2019-06-17 17:00:00,1,15.0,1,0,2.0
22367,2019-07-01,18,8650000.0,WEB,2019-07-01 18:00:00,512165,ANDROID,2019-07-01 09:00:00,1,9.0,1,0,2.0
22367,2019-07-02,13,1554000.0,ANDROID,2019-07-02 13:00:00,512138,WEB,2019-07-01 18:00:00,1,19.0,1,0,2.0
22367,2019-09-03,11,100000.0,WEB,2019-09-03 11:00:00,512231,ANDROID,2019-09-03 09:00:00,1,2.0,1,0,2.0
22367,2019-09-04,7,1074000.0,ANDROID,2019-09-04 07:00:00,512145,WEB,2019-09-03 11:00:00,1,20.0,1,0,2.0
22367,2019-12-11,11,12863000.0,IOS,2019-12-11 11:00:00,512222,ANDROID,2019-12-10 13:00:00,1,22.0,1,0,2.0
22487,2019-09-03,1,300000.0,WEB,2019-09-03 01:00:00,704746,ANDROID,2019-09-02 23:00:00,1,2.0,1,0,2.0
22487,2019-09-03,13,510000.0,ANDROID,2019-09-03 13:00:00,704697,WEB,2019-09-03 10:00:00,1,3.0,1,0,2.0
22695,2019-12-11,21,59130000.0,WEB,2019-12-11 21:00:00,1320209,ANDROID,2019-12-11 18:00:00,1,3.0,1,0,2.0
22703,2019-12-20,14,100000.0,IOS,2019-12-20 14:00:00,306640,WEB,2019-12-20 14:00:00,1,0.0,1,0,2.0
23197,2019-11-08,12,950000.0,ANDROID,2019-11-08 12:00:00,1202513,IOS,2019-11-08 08:00:00,1,4.0,1,0,2.0
23197,2019-11-09,7,80000.0,IOS,2019-11-09 07:00:00,1202488,ANDROID,2019-11-08 17:00:00,1,14.0,1,0,2.0
23204,2019-10-10,11,5000000.0,WEB,2019-10-10 11:00:00,1032792,IOS,2019-10-09 19:00:00,1,16.0,1,0,2.0
23204,2019-10-25,17,5000000.0,IOS,2019-10-25 17:00:00,1032743,WEB,2019-10-24 18:00:00,1,23.0,1,0,2.0
23302,2019-11-04,11,100000.0,ANDROID,2019-11-04 11:00:00,61167,WEB,2019-11-03 17:00:00,1,18.0,1,0,2.0
23591,2019-07-12,10,500000.0,WEB,2019-07-12 10:00:00,676013,ANDROID,2019-07-11 20:00:00,1,14.0,1,0,2.0
23592,2019-10-18,9,5313000.0,ANDROID,2019-10-18 09:00:00,1126304,IOS,2019-10-17 18:00:00,1,15.0,1,0,2.0
23592,2019-10-18,11,400000.0,WEB,2019-10-18 11:00:00,1126287,ANDROID,2019-10-18 09:00:00,1,2.0,1,0,2.0
23852,2019-11-28,19,100000.0,IOS,2019-11-28 19:00:00,1250659,WEB,2019-11-28 10:00:00,1,9.0,1,0,2.0
24006,2019-12-25,9,15000000.0,ANDROID,2019-12-25 09:00:00,1158952,IOS,2019-12-24 10:00:00,1,23.0,1,0,2.0
25261,2019-10-29,17,500000.0,WEB,2019-10-29 17:00:00,265396,ANDROID,2019-10-29 17:00:00,1,0.0,1,0,2.0
25261,2019-10-30,15,2500000.0,ANDROID,2019-10-30 15:00:00,265403,WEB,2019-10-29 17:00:00,1,22.0,1,0,2.0
25366,2019-08-31,9,31023000.0,IOS,2019-08-31 09:00:00,65964,ANDROID,2019-08-31 08:00:00,1,1.0,1,0,2.0
25366,2019-08-31,10,5000000.0,ANDROID,2019-08-31 10:00:00,65940,IOS,2019-08-31 09:00:00,1,1.0,1,0,2.0
25366,2019-08-31,12,20100000.0,WEB,2019-08-31 12:00:00,66009,ANDROID,2019-08-31 10:00:00,1,2.0,1,0,2.0
25707,2019-09-27,16,5000000.0,IOS,2019-09-27 16:00:00,100547,ANDROID,2019-09-26 23:00:00,1,17.0,1,0,2.0
25812,2019-10-27,13,200000.0,ANDROID,2019-10-27 13:00:00,944437,IOS,2019-10-26 16:00:00,1,21.0,1,0,2.0
25812,2019-10-28,10,1500000.0,IOS,2019-10-28 10:00:00,944496,ANDROID,2019-10-27 13:00:00,1,21.0,1,0,2.0
26499,2019-08-21,15,50000.0,ANDROID,2019-08-21 15:00:00,721871,IOS,2019-08-20 16:00:00,1,23.0,1,0,2.0
26683,2019-12-24,21,30000.0,IOS,2019-12-24 21:00:00,1313057,ANDROID,2019-12-24 16:00:00,1,5.0,1,0,2.0
26683,2019-12-25,19,35000.0,ANDROID,2019-12-25 19:00:00,1313052,IOS,2019-12-24 21:00:00,1,22.0,1,0,2.0
26868,2019-09-29,18,2000000.0,ANDROID,2019-09-29 18:00:00,716783,IOS,2019-09-29 15:00:00,1,3.0,1,0,2.0
26870,2019-10-29,9,200000.0,WEB,2019-10-29 09:00:00,747335,IOS,2019-10-28 19:00:00,1,14.0,1,0,2.0
27273,2019-12-04,12,50000.0,ANDROID,2019-12-04 12:00:00,859533,WEB,2019-12-03 14:00:00,1,22.0,1,0,2.0
27674,2019-11-30,4,2000000.0,IOS,2019-11-30 04:00:00,1222809,ANDROID,2019-11-29 16:00:00,1,12.0,1,0,2.0
27775,2019-06-08,13,1000000.0,WEB,2019-06-08 13:00:00,139357,ANDROID,2019-06-07 16:00:00,1,21.0,1,0,2.0
27790,2019-03-21,18,13000000.0,IOS,2019-03-21 18:00:00,96910,ANDROID,2019-03-21 13:00:00,1,5.0,1,0,2.0
27893,2019-08-24,12,330000.0,IOS,2019-08-24 12:00:00,137818,ANDROID,2019-08-24 11:00:00,1,1.0,1,0,2.0
28205,2019-06-15,8,1000000.0,ANDROID,2019-06-15 08:00:00,366915,IOS,2019-06-14 13:00:00,1,19.0,1,0,2.0
28205,2019-06-15,13,55000000.0,WEB,2019-06-15 13:00:00,366916,ANDROID,2019-06-15 08:00:00,1,5.0,1,0,2.0
28305,2019-09-22,9,2000000.0,IOS,2019-09-22 09:00:00,1014788,ANDROID,2019-09-21 17:00:00,1,16.0,1,0,2.0
28557,2019-12-11,10,170000.0,ANDROID,2019-12-11 10:00:00,1283503,IOS,2019-12-10 15:00:00,1,19.0,1,0,2.0
28588,2019-11-02,10,1000000.0,IOS,2019-11-02 10:00:00,1188821,WEB,2019-11-01 11:00:00,1,23.0,1,0,2.0
28610,2019-11-14,22,255000.0,WEB,2019-11-14 22:00:00,318940,ANDROID,2019-11-14 11:00:00,1,11.0,1,0,2.0
28610,2019-11-15,9,510000.0,IOS,2019-11-15 09:00:00,318955,WEB,2019-11-14 22:00:00,1,11.0,1,0,2.0
28641,2019-11-20,18,50000.0,ANDROID,2019-11-20 18:00:00,121502,WEB,2019-11-19 19:00:00,1,23.0,1,0,2.0
28641,2019-11-21,9,100000.0,WEB,2019-11-21 09:00:00,121501,ANDROID,2019-11-20 18:00:00,1,15.0,1,0,2.0
28641,2019-12-04,13,100000.0,WEB,2019-12-04 13:00:00,121405,ANDROID,2019-12-03 20:00:00,1,17.0,1,0,2.0
29782,2019-09-07,15,50000.0,ANDROID,2019-09-07 15:00:00,698371,IOS,2019-09-07 14:00:00,1,1.0,1,0,2.0
29782,2019-09-08,14,400000.0,IOS,2019-09-08 14:00:00,698360,ANDROID,2019-09-07 15:00:00,1,23.0,1,0,2.0
30020,2019-09-07,17,543000.0,ANDROID,2019-09-07 17:00:00,940440,WEB,2019-09-06 19:00:00,1,22.0,1,0,2.0
30302,2019-11-11,21,500000.0,ANDROID,2019-11-11 21:00:00,771479,IOS,2019-11-11 18:00:00,1,3.0,1,0,2.0
30558,2019-09-16,20,1785000.0,ANDROID,2019-09-16 20:00:00,995333,IOS,2019-09-16 16:00:00,1,4.0,1,0,2.0
