CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,IP_Address_Proxy,Device_ID_Hash,ts_dt,tx_id,prev_ip,prev_ts,is_ip_changed,time_diff_hours,IS_IMPOSSIBLE_TRAVEL,ip_cum_count,cum_tx_count,IS_NEW_LOCATION,IS_NEW_LOCATION_HIGH_VALUE,risk_score
424636,2019-07-30,16,70000000.0,161.166.XX.XX (HCM),43c0e83089f3622e,2019-07-30 16:00:00,780768,54.109.XX.XX (HCM),2019-07-30 16:00:00,1,0.0,1,0,8,1,1,4.0
146404,2019-08-28,14,65000000.0,183.69.XX.XX (HCM),4e5d139a90d365bd,2019-08-28 14:00:00,62677,165.42.XX.XX (HCM),2019-08-28 14:00:00,1,0.0,1,0,103,1,1,4.0
146404,2019-09-04,14,60000000.0,133.34.XX.XX (HCM),4e5d139a90d365bd,2019-09-04 14:00:00,62724,22.103.XX.XX (HCM),2019-09-04 14:00:00,1,0.0,1,0,105,1,1,4.0
46784,2019-11-26,9,150000000.0,192.66.XX.XX (HN),f7c76110bdb459f2,2019-11-26 09:00:00,1259105,174.59.XX.XX (HN),2019-11-26 09:00:00,1,0.0,1,0,6,1,1,4.0
393920,2019-07-31,16,75600000.0,39.211.XX.XX (HN),a77e3d3fd2fb216e,2019-07-31 16:00:00,76759,172.15.XX.XX (HN),2019-07-31 16:00:00,1,0.0,1,0,269,1,1,4.0
194029,2019-10-24,6,54500000.0,73.195.XX.XX (HN),84b7e3eb3126b38a,2019-10-24 06:00:00,75033,159.139.XX.XX (HN),2019-10-24 06:00:00,1,0.0,1,0,198,1,1,4.0
55634,2019-07-22,11,45000000.0,4.102.XX.XX (HCM),ffeaeb565a227150,2019-07-22 11:00:00,50514,11.99.XX.XX (HCM),2019-07-22 11:00:00,1,0.0,1,0,31,1,1,4.0
316519,2019-08-26,16,182750000.0,32.4.XX.XX (BD),37149e241d5e6fae,2019-08-26 16:00:00,119255,160.150.XX.XX (BD),2019-08-26 16:00:00,1,0.0,1,0,69,1,1,4.0
146404,2019-09-17,16,65000000.0,101.20.XX.XX (HCM),4e5d139a90d365bd,2019-09-17 16:00:00,62799,113.138.XX.XX (HCM),2019-09-17 16:00:00,1,0.0,1,0,116,1,1,4.0
356856,2019-10-12,16,83330000.0,141.159.XX.XX (HN),2b4121594ae651ec,2019-10-12 16:00:00,970854,135.195.XX.XX (HN),2019-10-12 16:00:00,1,0.0,1,0,115,1,1,4.0
30820,2019-09-13,9,42139000.0,187.51.XX.XX (TH),96007a65ee2b8571,2019-09-13 09:00:00,987603,248.218.XX.XX (TH),2019-09-13 09:00:00,1,0.0,1,0,2,1,1,4.0
146404,2019-09-20,14,52000000.0,44.129.XX.XX (HCM),4e5d139a90d365bd,2019-09-20 14:00:00,62800,42.80.XX.XX (HCM),2019-09-20 14:00:00,1,0.0,1,0,120,1,1,4.0
146404,2019-09-23,16,120000000.0,130.224.XX.XX (HCM),4e5d139a90d365bd,2019-09-23 16:00:00,62700,100.87.XX.XX (HCM),2019-09-23 16:00:00,1,0.0,1,0,122,1,1,4.0
418247,2019-08-26,9,45000000.0,164.155.XX.XX (HCM),1d0cdfca75f5d21e,2019-08-26 09:00:00,739848,173.118.XX.XX (HCM),2019-08-26 09:00:00,1,0.0,1,0,16,1,1,4.0
194029,2019-10-28,13,50000000.0,247.112.XX.XX (HN),84b7e3eb3126b38a,2019-10-28 13:00:00,75152,41.250.XX.XX (HN),2019-10-28 13:00:00,1,0.0,1,0,204,1,1,4.0
22574,2019-04-16,8,69000000.0,207.194.XX.XX (CT),dca8a058c7fcdcf5,2019-04-16 08:00:00,135839,84.86.XX.XX (CT),2019-04-16 08:00:00,1,0.0,1,0,19,1,1,4.0
409866,2019-12-10,22,102502137.0,60.67.XX.XX (HN),947dfc8a9fe82e92,2019-12-10 22:00:00,761103,152.150.XX.XX (HN),2019-12-10 22:00:00,1,0.0,1,0,164,1,1,4.0
435285,2019-12-12,16,75500000.0,92.253.XX.XX (CT),49b9717ea4b073ea,2019-12-12 16:00:00,130263,154.229.XX.XX (CT),2019-12-12 16:00:00,1,0.0,1,0,155,1,1,4.0
62461,2019-10-06,18,263970000.0,97.7.XX.XX (HP),a6cd8a0ab6592fd2,2019-10-06 18:00:00,905042,97.142.XX.XX (NA),2019-10-06 18:00:00,1,0.0,1,0,657,1,1,4.0
407200,2019-12-31,9,40273000.0,41.205.XX.XX (HCM),a92966bf30a313d6,2019-12-31 09:00:00,1171671,205.150.XX.XX (HCM),2019-12-31 09:00:00,1,0.0,1,0,259,1,1,4.0
146404,2019-10-10,13,90000000.0,112.184.XX.XX (HCM),4e5d139a90d365bd,2019-10-10 13:00:00,62730,155.5.XX.XX (HCM),2019-10-10 13:00:00,1,0.0,1,0,136,1,1,4.0
453109,2019-10-19,15,54000000.0,13.215.XX.XX (HN),6bfd5e2a83c52358,2019-10-19 15:00:00,952532,109.52.XX.XX (HN),2019-10-19 15:00:00,1,0.0,1,0,175,1,1,4.0
319900,2019-07-05,17,53459000.0,24.197.XX.XX (DN),44e26dfbb4e8ee56,2019-07-05 17:00:00,73145,73.133.XX.XX (DN),2019-07-05 17:00:00,1,0.0,1,0,214,1,1,4.0
146404,2019-10-21,10,163340000.0,122.20.XX.XX (HCM),4e5d139a90d365bd,2019-10-21 10:00:00,62783,90.225.XX.XX (HCM),2019-10-21 10:00:00,1,0.0,1,0,141,1,1,4.0
487140,2019-12-25,9,70600000.0,154.75.XX.XX (HCM),1e264bf103a2375b,2019-12-25 09:00:00,11139,50.119.XX.XX (HCM),2019-12-25 09:00:00,1,0.0,1,0,95,1,1,4.0
443359,2019-11-26,16,199100000.0,41.29.XX.XX (CT),6218f1df43f4bb8b,2019-11-26 16:00:00,1275742,184.123.XX.XX (CT),2019-11-26 16:00:00,1,0.0,1,0,9,1,1,4.0
194029,2019-11-11,11,50000000.0,101.112.XX.XX (DN),e826a24719f44f1c,2019-11-11 11:00:00,75213,211.162.XX.XX (HP),2019-11-11 11:00:00,1,0.0,1,0,214,1,1,4.0
116603,2019-12-05,15,74253700.0,54.135.XX.XX (HN),d1e4d3f68c24f09b,2019-12-05 15:00:00,66845,34.186.XX.XX (HN),2019-12-05 15:00:00,1,0.0,1,0,492,1,1,4.0
401551,2019-08-30,15,95956240.0,186.145.XX.XX (HN),99ef824362ecfc8a,2019-08-30 15:00:00,72440,123.163.XX.XX (HN),2019-08-30 15:00:00,1,0.0,1,0,132,1,1,4.0
453109,2019-11-22,22,50000000.0,122.209.XX.XX (CT),276af289c1ab7eb0,2019-11-22 22:00:00,952283,30.162.XX.XX (TH),2019-11-22 22:00:00,1,0.0,1,0,287,1,1,4.0
146404,2019-10-29,17,40000000.0,161.200.XX.XX (HCM),4e5d139a90d365bd,2019-10-29 17:00:00,62803,77.62.XX.XX (HCM),2019-10-29 17:00:00,1,0.0,1,0,149,1,1,4.0
98974,2019-12-11,15,50000000.0,244.119.XX.XX (HP),d54f8bcbd330a445,2019-12-11 15:00:00,793388,216.233.XX.XX (HP),2019-12-11 15:00:00,1,0.0,1,0,62,1,1,4.0
478008,2019-12-26,8,43000000.0,19.122.XX.XX (HN),32e36bf153ee9973,2019-12-26 08:00:00,86648,99.73.XX.XX (HN),2019-12-26 08:00:00,1,0.0,1,0,155,1,1,4.0
395462,2019-12-16,9,50000000.0,245.101.XX.XX (HN),7d7cdb91d988407e,2019-12-16 09:00:00,432120,183.80.XX.XX (HN),2019-12-16 09:00:00,1,0.0,1,0,86,1,1,4.0
427253,2019-12-12,16,70000000.0,197.76.XX.XX (HCM),4bb55689f9a245dc,2019-12-12 16:00:00,403418,2.171.XX.XX (HCM),2019-12-12 16:00:00,1,0.0,1,0,292,1,1,4.0
7012,2019-08-08,17,57747100.0,101.72.XX.XX (BD),8b997d5c82a0b396,2019-08-08 17:00:00,769968,228.249.XX.XX (BD),2019-08-08 17:00:00,1,0.0,1,0,29,1,1,4.0
190167,2019-12-05,8,215748018.0,120.148.XX.XX (HN),fb95128a08fa6318,2019-12-05 08:00:00,892573,24.105.XX.XX (HN),2019-12-05 08:00:00,1,0.0,1,0,155,1,1,4.0
146404,2019-11-19,8,97800000.0,138.224.XX.XX (HCM),4e5d139a90d365bd,2019-11-19 08:00:00,62753,79.31.XX.XX (HCM),2019-11-19 08:00:00,1,0.0,1,0,158,1,1,4.0
194029,2019-11-15,11,50000000.0,62.81.XX.XX (HN),84b7e3eb3126b38a,2019-11-15 11:00:00,75153,43.184.XX.XX (HN),2019-11-15 11:00:00,1,0.0,1,0,222,1,1,4.0
199231,2019-11-25,17,200000000.0,251.247.XX.XX (HN),afb01325066d67d2,2019-11-25 17:00:00,792382,45.222.XX.XX (HN),2019-11-25 17:00:00,1,0.0,1,0,46,1,1,4.0
216962,2019-09-28,9,40000000.0,79.37.XX.XX (HN),4567ade211388ae2,2019-09-28 09:00:00,359418,69.213.XX.XX (HN),2019-09-28 09:00:00,1,0.0,1,0,33,1,1,4.0
62461,2019-10-19,21,118660000.0,233.183.XX.XX (HCM),e0b101f34343be94,2019-10-19 21:00:00,904654,162.92.XX.XX (HCM),2019-10-19 21:00:00,1,0.0,1,0,797,1,1,4.0
87911,2019-12-03,17,50000000.0,96.222.XX.XX (HP),9d4591fe66c4956a,2019-12-03 17:00:00,1219569,116.82.XX.XX (HN),2019-12-03 17:00:00,1,0.0,1,0,94,1,1,4.0
56038,2019-12-30,18,87000000.0,246.4.XX.XX (HN),2be2e00760ae0e3f,2019-12-30 18:00:00,1182242,151.211.XX.XX (HN),2019-12-30 18:00:00,1,0.0,1,0,115,1,1,4.0
112162,2019-07-17,14,55000000.0,210.149.XX.XX (HP),855d36e3b07849c6,2019-07-17 14:00:00,243351,151.206.XX.XX (HP),2019-07-17 14:00:00,1,0.0,1,0,20,1,1,4.0
22702,2019-08-15,11,304818000.0,219.121.XX.XX (HN),a6a7b107a67d30f5,2019-08-15 11:00:00,737333,50.90.XX.XX (HN),2019-08-15 11:00:00,1,0.0,1,0,6,1,1,4.0
453109,2019-09-16,15,120000000.0,90.253.XX.XX (HN),6bfd5e2a83c52358,2019-09-16 15:00:00,952471,110.177.XX.XX (HN),2019-09-16 15:00:00,1,0.0,1,0,35,1,1,4.0
194029,2019-11-22,11,70000000.0,124.10.XX.XX (HN),84b7e3eb3126b38a,2019-11-22 11:00:00,75155,222.241.XX.XX (HN),2019-11-22 11:00:00,1,0.0,1,0,230,1,1,4.0
94293,2019-11-05,16,100000000.0,135.99.XX.XX (CT),5f38970774e774d6,2019-11-05 16:00:00,839308,72.248.XX.XX (CT),2019-11-05 16:00:00,1,0.0,1,0,126,1,1,4.0
408246,2019-10-31,15,42450000.0,68.30.XX.XX (HN),41571022335f8418,2019-10-31 15:00:00,1115739,250.54.XX.XX (HN),2019-10-31 15:00:00,1,0.0,1,0,13,1,1,4.0
22702,2019-09-17,9,266089000.0,150.214.XX.XX (HN),a6a7b107a67d30f5,2019-09-17 09:00:00,737329,236.8.XX.XX (HN),2019-09-17 09:00:00,1,0.0,1,0,22,1,1,4.0
301479,2019-12-23,12,66000000.0,235.129.XX.XX (DN),4f40d062f82ebf4e,2019-12-23 12:00:00,966863,25.119.XX.XX (DN),2019-12-23 12:00:00,1,0.0,1,0,105,1,1,4.0
221977,2019-10-29,14,40000000.0,144.250.XX.XX (HN),5cdd93cd94f81b1f,2019-10-29 14:00:00,117833,178.148.XX.XX (HN),2019-10-29 14:00:00,1,0.0,1,0,70,1,1,4.0
485064,2019-07-30,23,152000000.0,137.223.XX.XX (DN),62013d02ad192285,2019-07-30 23:00:00,658733,168.113.XX.XX (DN),2019-07-30 23:00:00,1,0.0,1,0,37,1,1,4.0
152081,2019-11-07,9,47000000.0,81.66.XX.XX (HCM),709381adaf8d5e32,2019-11-07 09:00:00,667637,221.101.XX.XX (HCM),2019-11-07 09:00:00,1,0.0,1,0,48,1,1,4.0
22702,2019-10-18,15,254230000.0,202.36.XX.XX (HN),a6a7b107a67d30f5,2019-10-18 15:00:00,737377,16.221.XX.XX (HN),2019-10-18 15:00:00,1,0.0,1,0,39,1,1,4.0
173665,2019-12-11,15,66000000.0,145.161.XX.XX (CT),46d29ae2d6cb52ec,2019-12-11 15:00:00,1309764,131.243.XX.XX (CT),2019-12-11 15:00:00,1,0.0,1,0,8,1,1,4.0
453109,2019-11-23,11,50300000.0,102.227.XX.XX (HN),6bfd5e2a83c52358,2019-11-23 11:00:00,952497,114.35.XX.XX (HN),2019-11-23 11:00:00,1,0.0,1,0,291,1,1,4.0
62461,2019-11-08,20,146000000.0,241.108.XX.XX (HCM),e0b101f34343be94,2019-11-08 20:00:00,905072,65.252.XX.XX (HCM),2019-11-08 20:00:00,1,0.0,1,0,908,1,1,4.0
190167,2019-12-16,8,67803600.0,199.225.XX.XX (HN),fb95128a08fa6318,2019-12-16 08:00:00,892629,215.35.XX.XX (HN),2019-12-16 08:00:00,1,0.0,1,0,179,1,1,4.0
22702,2019-11-18,8,743992000.0,15.226.XX.XX (HN),a6a7b107a67d30f5,2019-11-18 08:00:00,737356,100.14.XX.XX (HCM),2019-11-18 08:00:00,1,0.0,1,0,59,1,1,4.0
146404,2019-12-19,16,128700000.0,152.71.XX.XX (HCM),4e5d139a90d365bd,2019-12-19 16:00:00,62709,182.226.XX.XX (HCM),2019-12-19 16:00:00,1,0.0,1,0,183,1,1,4.0
393920,2019-08-17,17,140000000.0,95.15.XX.XX (HN),a77e3d3fd2fb216e,2019-08-17 17:00:00,76862,168.64.XX.XX (HN),2019-08-17 17:00:00,1,0.0,1,0,308,1,1,4.0
116830,2019-08-25,11,38000000.0,149.15.XX.XX (CT),b2a0dda76fd50c97,2019-08-25 11:00:00,592830,36.47.XX.XX (CT),2019-08-25 11:00:00,1,0.0,1,0,64,1,1,4.0
146404,2019-12-25,10,197050000.0,21.103.XX.XX (HCM),4e5d139a90d365bd,2019-12-25 10:00:00,62805,246.187.XX.XX (HCM),2019-12-25 10:00:00,1,0.0,1,0,188,1,1,4.0
301484,2019-07-01,17,70000000.0,207.149.XX.XX (CT),0d0d173c6d7a4bd3,2019-07-01 17:00:00,908280,86.52.XX.XX (CT),2019-07-01 17:00:00,1,0.0,1,0,11,1,1,4.0
7012,2019-08-30,17,63834110.0,128.219.XX.XX (BD),8b997d5c82a0b396,2019-08-30 17:00:00,769903,174.201.XX.XX (BD),2019-08-30 17:00:00,1,0.0,1,0,117,1,1,4.0
194029,2019-12-03,10,50000000.0,230.154.XX.XX (HN),84b7e3eb3126b38a,2019-12-03 10:00:00,75158,39.210.XX.XX (HN),2019-12-03 10:00:00,1,0.0,1,0,242,1,1,4.0
146404,2019-12-30,11,260000000.0,219.146.XX.XX (HCM),4e5d139a90d365bd,2019-12-30 11:00:00,62806,55.162.XX.XX (HCM),2019-12-30 11:00:00,1,0.0,1,0,192,1,1,4.0
449930,2019-04-04,9,73000000.0,227.54.XX.XX (CT),e484a90d4853c895,2019-04-04 09:00:00,54994,246.36.XX.XX (CT),2019-04-04 09:00:00,1,0.0,1,0,46,1,1,4.0
217195,2019-06-29,19,382000000.0,72.47.XX.XX (HN),42693a7f785f940f,2019-06-29 19:00:00,609844,232.247.XX.XX (HN),2019-06-29 19:00:00,1,0.0,1,0,6,1,1,4.0
338288,2019-10-01,9,46000000.0,161.179.XX.XX (HN),a91cbb4c312b9211,2019-10-01 09:00:00,1129702,220.3.XX.XX (HN),2019-10-01 09:00:00,1,0.0,1,0,14,1,1,4.0
221977,2019-11-23,11,116860000.0,21.241.XX.XX (HN),5cdd93cd94f81b1f,2019-11-23 11:00:00,117834,138.1.XX.XX (HN),2019-11-23 11:00:00,1,0.0,1,0,79,1,1,4.0
168198,2019-11-19,10,70000000.0,80.194.XX.XX (HN),9e0992222eb3bd8d,2019-11-19 10:00:00,879850,125.190.XX.XX (HN),2019-11-19 10:00:00,1,0.0,1,0,59,1,1,4.0
185379,2019-11-02,11,152000000.0,83.206.XX.XX (HN),7d1c2cb7ff3c0e8f,2019-11-02 11:00:00,445863,66.202.XX.XX (HN),2019-11-02 11:00:00,1,0.0,1,0,130,1,1,4.0
443359,2019-12-27,12,143400000.0,148.169.XX.XX (CT),6218f1df43f4bb8b,2019-12-27 12:00:00,1275712,161.160.XX.XX (CT),2019-12-27 12:00:00,1,0.0,1,0,52,1,1,4.0
87911,2019-12-30,15,49032227.0,188.153.XX.XX (NA),cdea68a3e2bc5c6a,2019-12-30 15:00:00,1219623,67.136.XX.XX (NA),2019-12-30 15:00:00,1,0.0,1,0,221,1,1,4.0
47167,2019-12-27,16,42524900.0,62.227.XX.XX (HN),483fbdd5432fae93,2019-12-27 16:00:00,304713,60.116.XX.XX (HN),2019-12-27 16:00:00,1,0.0,1,0,63,1,1,4.0
112162,2019-11-08,12,86700000.0,82.174.XX.XX (HP),855d36e3b07849c6,2019-11-08 12:00:00,243392,146.78.XX.XX (HP),2019-11-08 12:00:00,1,0.0,1,0,55,1,1,4.0
453109,2019-12-24,13,100000000.0,156.234.XX.XX (HN),6bfd5e2a83c52358,2019-12-24 13:00:00,952553,189.44.XX.XX (HN),2019-12-24 13:00:00,1,0.0,1,0,397,1,1,4.0
194029,2019-12-13,12,100000000.0,253.73.XX.XX (HN),84b7e3eb3126b38a,2019-12-13 12:00:00,75179,97.98.XX.XX (HN),2019-12-13 12:00:00,1,0.0,1,0,254,1,1,4.0
462939,2019-11-15,11,100000000.0,125.205.XX.XX (TH),5a1763ace85491ac,2019-11-15 11:00:00,337360,53.183.XX.XX (TH),2019-11-15 11:00:00,1,0.0,1,0,115,1,1,4.0
375821,2019-09-03,18,38000000.0,244.183.XX.XX (HCM),4fb62e61ab373a7a,2019-09-03 18:00:00,535146,210.78.XX.XX (HCM),2019-09-03 18:00:00,1,0.0,1,0,34,1,1,4.0
112162,2019-12-20,15,183000000.0,176.132.XX.XX (HP),855d36e3b07849c6,2019-12-20 15:00:00,243376,52.245.XX.XX (HP),2019-12-20 15:00:00,1,0.0,1,0,67,1,1,4.0
185379,2019-11-25,15,63000000.0,34.153.XX.XX (HN),7d1c2cb7ff3c0e8f,2019-11-25 15:00:00,445867,135.8.XX.XX (HN),2019-11-25 15:00:00,1,0.0,1,0,164,1,1,4.0
267228,2019-12-12,22,80000000.0,52.120.XX.XX (HN),aae865e874ddf37b,2019-12-12 22:00:00,502100,189.134.XX.XX (HN),2019-12-12 22:00:00,1,0.0,1,0,172,1,1,4.0
282717,2019-07-05,15,40000000.0,51.145.XX.XX (HCM),63db0fc3836c615a,2019-07-05 15:00:00,288537,81.232.XX.XX (HCM),2019-07-05 15:00:00,1,0.0,1,0,64,1,1,4.0
453109,2019-10-22,15,50000000.0,133.25.XX.XX (HN),6bfd5e2a83c52358,2019-10-22 15:00:00,952487,13.141.XX.XX (HN),2019-10-22 15:00:00,1,0.0,1,0,185,1,1,4.0
146512,2019-09-04,12,88400000.0,52.78.XX.XX (HN),f716692b8873d3b7,2019-09-04 12:00:00,790607,242.205.XX.XX (HN),2019-09-04 12:00:00,1,0.0,1,0,27,1,1,4.0
194029,2019-12-23,9,56300000.0,142.49.XX.XX (HN),84b7e3eb3126b38a,2019-12-23 09:00:00,75219,114.157.XX.XX (HN),2019-12-23 09:00:00,1,0.0,1,0,261,1,1,4.0
70987,2019-12-30,10,50000000.0,221.131.XX.XX (HP),fda1847c18f744dd,2019-12-30 10:00:00,395449,185.106.XX.XX (TH),2019-12-30 10:00:00,1,0.0,1,0,79,1,1,4.0
453109,2019-11-26,6,50000000.0,95.92.XX.XX (HN),6bfd5e2a83c52358,2019-11-26 06:00:00,952542,213.123.XX.XX (HN),2019-11-26 06:00:00,1,0.0,1,0,298,1,1,4.0
263504,2019-07-15,23,54000000.0,82.173.XX.XX (DN),e63d1f181c1cd6ee,2019-07-15 23:00:00,1016503,221.55.XX.XX (DN),2019-07-15 23:00:00,1,0.0,1,0,6,1,1,4.0
202254,2019-12-12,10,100000000.0,139.253.XX.XX (NA),3ae98fbc79f883b2,2019-12-12 10:00:00,222422,13.118.XX.XX (NA),2019-12-12 10:00:00,1,0.0,1,0,527,1,1,4.0
369068,2019-09-14,11,59000000.0,14.33.XX.XX (HN),b53c2dfec26f0cab,2019-09-14 11:00:00,1393570,171.236.XX.XX (HN),2019-09-14 11:00:00,1,0.0,1,0,1,1,1,4.0
56560,2019-10-23,7,60000000.0,251.131.XX.XX (HN),f2ec5dc04f888e7b,2019-10-23 07:00:00,997321,239.167.XX.XX (HN),2019-10-23 07:00:00,1,0.0,1,0,11,1,1,4.0
94444,2019-10-21,10,67014442.0,223.63.XX.XX (HCM),d5aed9a952b5b052,2019-10-21 10:00:00,1047189,72.205.XX.XX (HCM),2019-10-21 10:00:00,1,0.0,1,0,23,1,1,4.0
56560,2019-12-26,7,100000000.0,160.229.XX.XX (HN),f2ec5dc04f888e7b,2019-12-26 07:00:00,997319,184.1.XX.XX (HN),2019-12-26 07:00:00,1,0.0,1,0,20,1,1,4.0
453109,2019-10-23,13,50958000.0,118.45.XX.XX (HN),6bfd5e2a83c52358,2019-10-23 13:00:00,952533,174.233.XX.XX (BD),2019-10-23 13:00:00,1,0.0,1,0,189,1,1,4.0
356856,2019-11-11,19,169768000.0,181.107.XX.XX (HN),2b4121594ae651ec,2019-11-11 19:00:00,970732,41.144.XX.XX (HN),2019-11-11 19:00:00,1,0.0,1,0,251,1,1,4.0
217195,2019-07-16,17,100000000.0,19.205.XX.XX (HN),42693a7f785f940f,2019-07-16 17:00:00,609814,2.135.XX.XX (HN),2019-07-16 17:00:00,1,0.0,1,0,27,1,1,4.0
499036,2019-10-10,16,49000000.0,50.126.XX.XX (HCM),466eb11e214b319c,2019-10-10 16:00:00,1041398,130.52.XX.XX (HCM),2019-10-10 16:00:00,1,0.0,1,0,11,1,1,4.0
411687,2019-11-13,8,78400000.0,216.171.XX.XX (DN),5705fc5a7497f04a,2019-11-13 08:00:00,506740,199.129.XX.XX (DN),2019-11-13 08:00:00,1,0.0,1,0,148,1,1,4.0
190411,2019-07-27,10,80000000.0,185.231.XX.XX (HCM),1665824175f6f210,2019-07-27 10:00:00,261862,252.148.XX.XX (HCM),2019-07-27 10:00:00,1,0.0,1,0,50,1,1,4.0
80939,2019-10-18,18,90000000.0,237.187.XX.XX (HN),a9f4a133fd3eea6b,2019-10-18 18:00:00,495667,89.64.XX.XX (HN),2019-10-18 18:00:00,1,0.0,1,0,189,1,1,4.0
56568,2019-11-07,14,200000000.0,92.22.XX.XX (HN),3b42f88d4386f720,2019-11-07 14:00:00,1089384,21.199.XX.XX (HN),2019-11-07 14:00:00,1,0.0,1,0,14,1,1,4.0
438964,2019-01-18,11,40000000.0,31.194.XX.XX (BD),7dabb3ea4b97c687,2019-01-18 11:00:00,34964,236.245.XX.XX (BD),2019-01-18 11:00:00,1,0.0,1,0,1,1,1,4.0
475658,2019-10-15,8,50455779.0,135.199.XX.XX (HCM),7e5243ee73042c7b,2019-10-15 08:00:00,1353859,96.116.XX.XX (HCM),2019-10-15 08:00:00,1,0.0,1,0,5,1,1,4.0
62461,2019-12-08,19,53200000.0,115.177.XX.XX (HCM),e0b101f34343be94,2019-12-08 19:00:00,905806,229.75.XX.XX (HCM),2019-12-08 19:00:00,1,0.0,1,0,1195,1,1,4.0
445603,2019-07-19,9,110000000.0,118.115.XX.XX (TH),963e41dddd86abff,2019-07-19 09:00:00,242872,233.86.XX.XX (TH),2019-07-19 09:00:00,1,0.0,1,0,70,1,1,4.0
377044,2019-11-06,10,100000000.0,43.171.XX.XX (HN),a4d78143534c7022,2019-11-06 10:00:00,1190224,252.140.XX.XX (HN),2019-11-06 10:00:00,1,0.0,1,0,11,1,1,4.0
23438,2019-09-25,15,50703223.0,151.65.XX.XX (HN),7f3278fa19d8281b,2019-09-25 15:00:00,1225626,83.209.XX.XX (HN),2019-09-25 15:00:00,1,0.0,1,0,2,1,1,4.0
453109,2019-09-20,9,50000000.0,36.224.XX.XX (HN),6bfd5e2a83c52358,2019-09-20 09:00:00,952564,137.171.XX.XX (HN),2019-09-20 09:00:00,1,0.0,1,0,50,1,1,4.0
348242,2019-08-14,20,43490400.0,181.80.XX.XX (BD),5afac37c18190bfb,2019-08-14 20:00:00,806322,136.173.XX.XX (BD),2019-08-14 20:00:00,1,0.0,1,0,36,1,1,4.0
13886,2019-12-03,11,50000000.0,81.187.XX.XX (HN),871e66e0f299dac8,2019-12-03 11:00:00,718196,234.121.XX.XX (HN),2019-12-03 11:00:00,1,0.0,1,0,23,1,1,4.0
416482,2019-11-04,9,150000000.0,50.184.XX.XX (HN),ba45780349ddc471,2019-11-04 09:00:00,773901,24.37.XX.XX (HN),2019-11-04 09:00:00,1,0.0,1,0,43,1,1,4.0
179795,2019-03-07,18,48000000.0,57.137.XX.XX (HCM),d9b0247da5a5ed32,2019-03-07 18:00:00,153536,245.156.XX.XX (HCM),2019-03-07 18:00:00,1,0.0,1,0,1,1,1,4.0
