CUSTOMER_NUMBER,TRANS_DATE,TRANS_HOUR,TRANS_AMOUNT,TRANS_LV1,TRANS_LV2,IP_Address_Proxy,Device_ID_Hash,ts_dt,SUM_1H,COUNT_1H,SUM_3H,COUNT_3H,SUM_24H,COUNT_24H,SUM_48H,COUNT_48H,SUM_7D,COUNT_7D,SUM_30D,COUNT_30D,VELOCITY_RATIO_AMOUNT_1H_VS_24H,VELOCITY_RATIO_AMOUNT_24H_VS_7D,VELOCITY_RATIO_AMOUNT_7D_VS_30D,VELOCITY_RATIO_COUNT_1H_VS_24H,VELOCITY_RATIO_COUNT_24H_VS_7D,VELOCITY_RATIO_COUNT_7D_VS_30D,HIST_AVG_30D_TRANS_AMOUNT,TRANS_AMOUNT_VS_30D_AVG_RATIO
222411,2019-11-29,13,640000000.0,Transfer,Outside_bank,17.185.xx.xx (NA),9ab50d9a463c0d5a,2019-11-29 13:00:00,940000000.0,2.0,940400000.0,4.0,940400000.0,4.0,940400000.0,4.0,974630000.0,11.0,3872239739.0,46.0,0.9995746490854849,0.9648789797153693,0.25169670931885385,0.49999875000312505,0.3636360330581518,0.23913038279774285,84179106.4610638,7.602836700291533
799399,2019-10-03,8,650000000.0,Transfer,Outside_bank,145.33.xx.xx (NA),bcf904cf8fc6d82c,2019-10-03 08:00:00,911000000.0,2.0,911000000.0,2.0,911000000.0,2.0,952900000.0,5.0,1271280000.0,16.0,2596006016.0,46.0,0.999999999999989,0.716600591529791,0.48970610706011364,0.9999950000249999,0.12499992187504883,0.34782601134217145,56434901.12284758,11.517695381178463
222411,2019-10-21,18,1500000.0,Transfer,Outside_bank,238.11.xx.xx (NA),9ab50d9a463c0d5a,2019-10-21 18:00:00,901500000.0,2.0,901500000.0,2.0,901500000.0,2.0,906875000.0,3.0,1079225000.0,7.0,1936810500.0,28.0,0.9999999999999889,0.8353216428455528,0.5572176524239177,0.9999950000249999,0.2857138775516035,0.2499999107143176,69171778.86722183,0.021685144210026704
914812,2019-09-28,21,900000000.0,Transfer,Outside_bank,124.235.xx.xx (HN),1c693a5af6178a77,2019-09-28 21:00:00,900200000.0,2.0,900200000.0,2.0,900500000.0,3.0,900500000.0,3.0,900500000.0,3.0,900500000.0,3.0,0.9996668517490171,0.9999999999999889,0.9999999999999889,0.6666644444518518,0.9999966666777778,0.9999966666777778,300165666.1144463,2.998344253192571
847738,2019-12-02,16,50000.0,Topup,Mobile,18.221.xx.xx (HN),89f34fd6202f8704,2019-12-02 16:00:00,900050000.0,2.0,900050000.0,2.0,907050000.0,3.0,907050000.0,3.0,992523361.0,8.0,1125004689.0,22.0,0.9922826746044762,0.9138827715713493,0.882239310382102,0.6666644444518518,0.37499953125058594,0.3636361983471826,51136553.528839305,0.000977774146859387
593866,2019-12-27,17,450002000.0,Transfer,Within_bank,147.217.xx.xx (HCM),91975c0d769de4fa,2019-12-27 17:00:00,900002000.0,2.0,900002000.0,2.0,900002000.0,2.0,900002000.0,2.0,900002000.0,2.0,910690888.0,3.0,0.9999999999999889,0.9999999999999889,0.9882628802584331,0.9999950000249999,0.9999950000249999,0.6666644444518518,303562617.4579418,1.4824025559152796
22702,2019-08-15,11,304818000.0,Transfer,Within_bank,219.121.xx.xx (HN),a6a7b107a67d30f5,2019-08-15 11:00:00,853825000.0,2.0,857825000.0,3.0,857825000.0,3.0,857825000.0,3.0,878825000.0,5.0,910871000.0,7.0,0.9953370442689243,0.9761044576565189,0.964818289307696,0.6666644444518518,0.5999988000024,0.7142846938790088,130124242.67965332,2.342515074230968
60805,2019-08-23,13,115167816.0,Payment,Credit_card_repayment,190.4.xx.xx (DN),54f1bec5630159f6,2019-08-23 13:00:00,850567816.0,2.0,850567816.0,2.0,850567816.0,2.0,1500567816.0,5.0,1567266326.0,8.0,3543828206.0,35.0,0.9999999999999882,0.5427078996655446,0.44225234263514285,0.9999950000249999,0.24999968750039064,0.22857136326532476,101252205.52794127,1.137435134370552
22702,2019-09-17,9,266089000.0,Transfer,Within_bank,150.214.xx.xx (HN),a6a7b107a67d30f5,2019-09-17 09:00:00,825613000.0,2.0,909171000.0,3.0,910171000.0,4.0,910171000.0,4.0,951151000.0,8.0,987034234.0,15.0,0.9070965785550088,0.9569153583395175,0.9636454007733944,0.49999875000312505,0.4999993750007813,0.5333329777780148,65802238.39850774,4.043768213301296
308320,2019-11-15,15,520000000.0,Transfer,Within_bank,219.2.xx.xx (TH),cd4e4b440ccaa65e,2019-11-15 15:00:00,820000000.0,2.0,820000000.0,2.0,820000000.0,2.0,820000000.0,2.0,836020002.0,8.0,1335938353.0,28.0,0.9999999999999878,0.9808377766540449,0.6257923504648375,0.9999950000249999,0.24999968750039064,0.2857141836735058,47712066.99569036,10.898710383829327
669253,2019-09-17,11,5000000.0,Transfer,Outside_bank,119.160.xx.xx (HN),a7846a4c11aed0a6,2019-09-17 11:00:00,807500000.0,2.0,807500000.0,2.0,807500000.0,2.0,807500000.0,2.0,827500000.0,3.0,3621411474.0,20.0,0.9999999999999876,0.975830815709958,0.22850206499345666,0.9999950000249999,0.6666644444518518,0.1499999250000375,181070483.1647584,0.027613556404166423
824474,2019-12-25,8,25000.0,Topup,eWallet,130.197.xx.xx (HCM),e16a10537492ec78,2019-12-25 08:00:00,800025000.0,2.0,800025000.0,2.0,800046000.0,3.0,800186000.0,5.0,1230290600.0,12.0,1265196435.0,54.0,0.9999737515092757,0.6502902647553297,0.9724107387324327,0.6666644444518518,0.24999979166684028,0.22222218106996647,23429559.27230384,0.0010670281804891616
470179,2019-10-17,18,30000000.0,Transfer,Within_bank,81.236.xx.xx (HCM),bf57da7f86a7a66c,2019-10-17 18:00:00,800000000.0,2.0,800000000.0,2.0,800000000.0,2.0,800500000.0,3.0,851125750.0,8.0,1150602750.0,29.0,0.9999999999999875,0.9399316141004905,0.7397216372027553,0.9999950000249999,0.24999968750039064,0.27586197384069866,39675943.215192,0.7561256915123666
174600,2019-09-04,18,592115000.0,Transfer,Outside_bank,85.228.xx.xx (HCM),a006fa96f1ffa696,2019-09-04 18:00:00,799989000.0,2.0,899989000.0,3.0,961019000.0,5.0,961019000.0,5.0,961019000.0,5.0,1312177000.0,13.0,0.8324382764544631,0.9999999999999896,0.7323851888883837,0.39999920000160005,0.9999980000040001,0.38461508875762407,100936614.66414256,5.866206252014201
888774,2019-08-23,18,432000.0,Transfer,Outside_bank,223.98.xx.xx (TH),34f3a049326170d9,2019-08-23 18:00:00,750432000.0,2.0,750432000.0,2.0,750432000.0,2.0,751282000.0,4.0,752731000.0,6.0,808885655.0,11.0,0.9999999999999867,0.9969457880703598,0.9305777588551631,0.9999950000249999,0.33333277777870374,0.5454540495872277,73534992.69546118,0.0058747541022956505
453109,2019-11-28,15,300000000.0,Transfer,Within_bank,9.242.xx.xx (HN),6bfd5e2a83c52358,2019-11-28 15:00:00,750000000.0,2.0,750000000.0,2.0,786000000.0,4.0,1407500000.0,6.0,2110220000.0,22.0,10019195516.0,103.0,0.9541984732824306,0.3724730122925554,0.210617708440774,0.49999875000312505,0.1818180991735913,0.21359221227260075,97273733.42973462,3.0840802488235246
798948,2019-10-15,21,440000000.0,Transfer,Outside_bank,118.26.xx.xx (TH),bcf30728399fe80a,2019-10-15 21:00:00,740000000.0,2.0,740000000.0,2.0,740000000.0,2.0,740000000.0,2.0,4050700000.0,12.0,7580000000.0,19.0,0.9999999999999865,0.18268447428839416,0.534393139841688,0.9999950000249999,0.16666652777789354,0.6315786149586237,398947158.448864,1.102902955145091
798948,2019-10-03,18,3000000.0,Transfer,Outside_bank,31.9.xx.xx (TH),bcf30728399fe80a,2019-10-03 18:00:00,740000000.0,2.0,740000000.0,2.0,740000000.0,2.0,740000000.0,2.0,740000000.0,2.0,6000000000.0,11.0,0.9999999999999865,0.9999999999999865,0.12333333333333314,0.9999950000249999,0.9999950000249999,0.1818180165290759,545454049.5872277,0.005500004999999898
42159,2019-11-26,8,31600000.0,Transfer,Within_bank,181.157.xx.xx (HN),a5b409fb90f92931,2019-11-26 08:00:00,735600000.0,2.0,735600000.0,2.0,735600000.0,2.0,735600000.0,2.0,737600000.0,3.0,808101813.0,20.0,0.9999999999999863,0.9972885032537826,0.9127562741899093,0.9999950000249999,0.6666644444518518,0.1499999250000375,40405070.44746478,0.7820800619832833
229460,2019-12-26,14,456796408.0,Transfer,Within_bank,54.124.xx.xx (HN),d781ec52c38ef2a2,2019-12-26 14:00:00,729244075.0,2.0,729244075.0,2.0,769244075.0,3.0,1324744075.0,4.0,2289350890.0,10.0,7404939063.0,47.0,0.9480008994544293,0.33600968657102476,0.30916539225003437,0.6666644444518518,0.2999997000003,0.2127659121774655,157551861.43577415,2.899339962328427
453109,2019-11-11,6,700000000.0,Transfer,Within_bank,28.198.xx.xx (HN),6bfd5e2a83c52358,2019-11-11 06:00:00,720000000.0,2.0,720000000.0,2.0,831000000.0,3.0,1120356318.0,8.0,2454714318.0,25.0,8437151818.0,94.0,0.866425992779773,0.3385322658145658,0.29094111033572456,0.6666644444518518,0.1199999520000192,0.26595741851516824,89756924.68543354,7.798841175242756
761515,2019-12-16,10,699000000.0,Transfer,Outside_bank,135.201.xx.xx (HCM),375b533fb1f73a35,2019-12-16 10:00:00,711420000.0,2.0,711420000.0,2.0,713220000.0,3.0,1713220000.0,4.0,2533780000.0,8.0,4227725000.0,22.0,0.9974762345419226,0.28148458035030555,0.5993246959061893,0.6666644444518518,0.37499953125058594,0.3636361983471826,192169230.8321678,3.6374189404465045
906767,2019-10-31,15,692804542.0,Transfer,Outside_bank,52.158.xx.xx (HCM),bd58167cd1897d34,2019-10-31 15:00:00,707590581.0,2.0,707590581.0,2.0,707590581.0,2.0,707590581.0,2.0,707590581.0,2.0,707590581.0,2.0,0.9999999999999859,0.9999999999999859,0.9999999999999859,0.9999950000249999,0.9999950000249999,0.9999950000249999,353793521.5323923,1.958217151629073
552022,2019-11-19,15,10000.0,Topup,Mobile,242.111.xx.xx (HCM),5e3d5d0e8e17b1fd,2019-11-19 15:00:00,700010000.0,2.0,700110000.0,3.0,700110000.0,3.0,700110000.0,3.0,700210000.0,4.0,708713915.0,26.0,0.999857165302581,0.9998571857014181,0.9880009199480585,0.6666644444518518,0.7499981250046875,0.15384609467457896,27258217.016070377,0.00036686185285342483
324061,2019-06-14,16,10000000.0,Transfer,Outside_bank,140.236.xx.xx (CT),a99b1e5416edab4f,2019-06-14 16:00:00,689950000.0,2.0,689950000.0,2.0,689950000.0,2.0,689950000.0,2.0,689950000.0,2.0,689950000.0,2.0,0.9999999999999855,0.9999999999999855,0.9999999999999855,0.9999950000249999,0.9999950000249999,0.9999950000249999,344973275.1336243,0.028987752735704645
789449,2019-12-28,8,150000000.0,Transfer,Within_bank,77.76.xx.xx (HP),02be178609172167,2019-12-28 08:00:00,650000000.0,2.0,650000000.0,2.0,650000000.0,2.0,650000000.0,2.0,650000000.0,2.0,650000000.0,2.0,0.9999999999999846,0.9999999999999846,0.9999999999999846,0.9999950000249999,0.9999950000249999,0.9999950000249999,324998375.00812495,0.46154076923075504
799399,2019-09-10,20,50000000.0,Transfer,Within_bank,113.84.xx.xx (NA),bcf904cf8fc6d82c,2019-09-10 20:00:00,650000000.0,2.0,650000000.0,2.0,703405016.0,4.0,708405016.0,5.0,819405016.0,9.0,1931407354.0,40.0,0.924076435644853,0.8584338663604073,0.42425281973944257,0.49999875000312505,0.44444395061783265,0.22499994375001403,48285171.77870705,1.035514592950849
322181,2019-07-22,9,365000000.0,Transfer,Outside_bank,129.185.xx.xx (HCM),6c5921dc97a9dae6,2019-07-22 09:00:00,615000000.0,2.0,615000000.0,2.0,615000000.0,2.0,616900000.0,3.0,651900000.0,5.0,4515393000.0,28.0,0.9999999999999837,0.9433962264150798,0.1443728153894907,0.9999950000249999,0.39999920000160005,0.17857136479594116,161263978.1200078,2.2633696889726687
37975,2019-10-09,9,600000000.0,Transfer,Outside_bank,4.117.xx.xx (DN),6c81624df4ceeaa6,2019-10-09 09:00:00,600200000.0,2.0,600200000.0,2.0,650690000.0,4.0,804400000.0,5.0,804400000.0,5.0,885259791.0,24.0,0.9224054465259813,0.8089134758826354,0.9086598173529729,0.49999875000312505,0.7999984000032001,0.20833324652781396,36885809.25591281,16.266418227049122
798948,2019-11-29,16,100000000.0,Transfer,Outside_bank,214.81.xx.xx (TH),bcf30728399fe80a,2019-11-29 16:00:00,600000000.0,2.0,600000000.0,2.0,600000000.0,2.0,601000000.0,3.0,601000000.0,3.0,908200000.0,6.0,0.9999999999999833,0.998336106489168,0.6617485135432651,0.9999950000249999,0.6666644444518518,0.4999991666680556,151366414.38930935,0.6606485355648098
627548,2019-12-10,8,100000000.0,Transfer,Outside_bank,171.12.xx.xx (NA),262bf13bef9f2951,2019-12-10 08:00:00,600000000.0,2.0,600000000.0,2.0,600000000.0,2.0,600530000.0,4.0,2191226440.0,14.0,6244406440.0,48.0,0.9999999999999833,0.27381925895344583,0.35091028443689787,0.9999950000249999,0.1428570408163994,0.2916666059027904,130091773.73088047,0.7686881124925031
145439,2019-08-01,15,386000000.0,Transfer,Within_bank,152.193.xx.xx (CT),1c36541b490d331b,2019-08-01 15:00:00,586000000.0,2.0,586000000.0,2.0,586000000.0,2.0,586000000.0,2.0,586000000.0,2.0,746000000.0,4.0,0.9999999999999829,0.9999999999999829,0.7855227882037428,0.9999950000249999,0.9999950000249999,0.49999875000312505,186499533.75116563,2.0697102680964035
540244,2019-10-30,21,290666666.0,Transfer,Within_bank,81.52.xx.xx (HCM),54f9e078426b5a70,2019-10-30 21:00:00,580666666.0,2.0,580666666.0,2.0,604666666.0,4.0,698666666.0,9.0,968325817.0,22.0,2580187817.0,124.0,0.9603087099892991,0.6244454659624074,0.37529276381355625,0.49999875000312505,0.1818180991735913,0.17741934053069833,20807964.58806737,13.969010028330562
371962,2019-12-16,17,40000.0,Transfer,Outside_bank,200.8.xx.xx (HCM),37f5ab061caddcc2,2019-12-16 17:00:00,580040000.0,2.0,580040000.0,2.0,580360000.0,3.0,580360000.0,3.0,580360000.0,3.0,628880285.0,10.0,0.9994486180990937,0.9999999999999828,0.9228465478131355,0.6666644444518518,0.9999966666777778,0.2999997000003,62887965.61203439,0.0006360517407537054
505207,2019-09-27,19,17937575.0,Transfer,Outside_bank,95.77.xx.xx (HN),429353b96b92b5fa,2019-09-27 19:00:00,577593575.0,2.0,577593575.0,2.0,586366575.0,3.0,586366575.0,3.0,966366575.0,4.0,986786575.0,7.0,0.9850383695557513,0.6067744789289654,0.9793065689001598,0.6666644444518518,0.7499981250046875,0.571427755103207,140969309.3295581,0.1272445405692118
453109,2019-12-02,11,146130000.0,Transfer,Outside_bank,226.224.xx.xx (HN),6bfd5e2a83c52358,2019-12-02 11:00:00,576130000.0,2.0,576130000.0,2.0,639355000.0,4.0,739355000.0,6.0,2829696000.0,22.0,9853309016.0,99.0,0.9011112762080393,0.22594476579816267,0.2871823054980901,0.49999875000312505,0.1818180991735913,0.22222219977553537,99528363.84561981,1.4682246784107706
879955,2019-09-04,17,50000000.0,Transfer,Outside_bank,180.65.xx.xx (TH),1786ba0ef3556bb0,2019-09-04 17:00:00,570000000.0,2.0,663652000.0,3.0,663652000.0,3.0,939152000.0,4.0,1846941736.0,9.0,8012047196.0,32.0,0.8588838728731193,0.3593248162972892,0.23052057617959118,0.6666644444518518,0.3333329629633745,0.2812499121094024,250376396.63237602,0.19969933537070694
823835,2019-11-26,17,300000000.0,Transfer,Within_bank,83.245.xx.xx (HCM),51d3b96996e04545,2019-11-26 17:00:00,560000000.0,2.0,560000000.0,2.0,581800000.0,4.0,785800000.0,6.0,1433800000.0,9.0,2885800000.0,14.0,0.9625300790649542,0.40577486399776536,0.49684662831796905,0.49999875000312505,0.44444395061783265,0.6428566836737974,206128424.19398272,1.4554033543557405
831590,2019-08-31,14,500000000.0,Transfer,Within_bank,40.208.xx.xx (BD),1acd9a84630da711,2019-08-31 14:00:00,550300000.0,2.0,550300000.0,2.0,550300000.0,2.0,555300000.0,3.0,713250000.0,9.0,1569016993.0,21.0,0.9999999999999818,0.7715387311601715,0.45458398677776174,0.9999950000249999,0.22222197530891633,0.4285712244898931,74715059.32616223,6.692091320134347
878039,2019-05-07,9,200000000.0,Transfer,Within_bank,54.139.xx.xx (HCM),92eb8a7a57c6e767,2019-05-07 09:00:00,550000000.0,2.0,550000000.0,2.0,550000000.0,2.0,580000000.0,3.0,580000000.0,3.0,1758307000.0,7.0,0.9999999999999818,0.9482758620689491,0.32986276002995873,0.9999950000249999,0.6666644444518518,0.4285708163274053,251186355.44806367,0.7962215927024939
994072,2019-12-12,14,427000000.0,Transfer,Within_bank,250.109.xx.xx (BD),f801829f4654148e,2019-12-12 14:00:00,545300000.0,2.0,547100000.0,3.0,566008500.0,8.0,571138500.0,10.0,667991500.0,16.0,1046704500.0,59.0,0.9634130936196017,0.8473288956521027,0.6381853713249476,0.24999968750039064,0.4999996875001953,0.2711863947141704,17740751.230381146,24.068879296865354
788639,2019-12-05,10,40000.0,Topup,Mobile,19.21.xx.xx (HN),87878588a342deed,2019-12-05 10:00:00,520040000.0,2.0,520040000.0,2.0,533040000.0,4.0,533520000.0,6.0,1449991000.0,24.0,1845935000.0,67.0,0.9756115863724866,0.36761607485839315,0.7855049067274807,0.49999875000312505,0.16666659722225116,0.3582089017598654,27551264.54458738,0.0014518389867460271
74237,2019-11-20,16,510013503.0,Transfer,Outside_bank,200.190.xx.xx (NA),2a7b216061aba968,2019-11-20 16:00:00,515013503.0,2.0,515013503.0,2.0,515013503.0,2.0,515013503.0,2.0,515013503.0,2.0,515013503.0,2.0,0.9999999999999806,0.9999999999999806,0.9999999999999806,0.9999950000249999,0.9999950000249999,0.9999950000249999,257505463.97268012,1.9805929362884886
523566,2019-12-06,16,500000000.0,Transfer,Within_bank,21.182.xx.xx (HN),5304a817325e443d,2019-12-06 16:00:00,511040000.0,2.0,511040000.0,2.0,574332000.0,4.0,585232000.0,6.0,706727583.0,12.0,3439724086.0,48.0,0.8897989316283806,0.8126639087185478,0.20546054431413424,0.49999875000312505,0.33333305555578707,0.2499999479166775,71660903.52897842,6.977305272152185
453109,2019-10-07,15,400500000.0,Transfer,Outside_bank,167.64.xx.xx (HN),6bfd5e2a83c52358,2019-10-07 15:00:00,510442758.0,2.0,510442758.0,2.0,521342758.0,4.0,557342758.0,5.0,2432870262.0,34.0,8601993279.0,124.0,0.9790924495780379,0.21429122881851306,0.28282633839523574,0.49999875000312505,0.11764702422146345,0.2741935262747156,69370907.94589452,5.773313509350492
185379,2019-08-28,16,6000000.0,Transfer,Within_bank,253.203.xx.xx (HN),7d1c2cb7ff3c0e8f,2019-08-28 16:00:00,506000000.0,2.0,506000000.0,2.0,508000000.0,3.0,524000000.0,5.0,556200000.0,8.0,600615000.0,15.0,0.9960629921259646,0.9133405249909939,0.9260507979321041,0.6666644444518518,0.37499953125058594,0.5333329777780148,40040973.30601779,0.14984650732994936
909535,2019-11-11,11,5400000.0,Transfer,Outside_bank,163.209.xx.xx (HCM),590901055a902789,2019-11-11 11:00:00,505400000.0,2.0,505400000.0,2.0,629000000.0,6.0,631500000.0,7.0,1492437000.0,15.0,2424467000.0,32.0,0.8034976152623083,0.421458326214102,0.6155732373342239,0.33333277777870374,0.39999973333351113,0.4687498535156707,75764570.07357185,0.07127341968357466
637299,2019-08-26,14,502000000.0,Transfer,Outside_bank,47.32.xx.xx (NA),a1af7217ced7706d,2019-08-26 14:00:00,503000000.0,2.0,503000000.0,2.0,503000000.0,2.0,503000000.0,2.0,505500000.0,3.0,2001956000.0,17.0,0.9999999999999801,0.9950544015825717,0.25250305201512796,0.9999950000249999,0.6666644444518518,0.1764704844291268,117762048.37526566,4.262833458876856
217195,2019-08-02,10,500000000.0,Transfer,Within_bank,218.137.xx.xx (HN),42693a7f785f940f,2019-08-02 10:00:00,503000000.0,2.0,503000000.0,2.0,503000000.0,2.0,806000000.0,3.0,1488770000.0,11.0,4390494843.0,44.0,0.9999999999999801,0.337862799492196,0.33908934032199634,0.9999950000249999,0.1818180165290759,0.24999994318183108,99783951.02637476,5.010825837792198
170490,2019-10-12,20,1250000.0,Transfer,Outside_bank,97.91.xx.xx (HCM),be5912e858b26ece,2019-10-12 20:00:00,501250000.0,2.0,501250000.0,2.0,527314000.0,5.0,537314000.0,6.0,1063652000.0,16.0,2228655000.0,51.0,0.9505721448700214,0.49575801107880685,0.4772618462705063,0.39999920000160005,0.31249980468762206,0.3137254286812885,43699109.07860606,0.028604702163405916
596876,2019-06-01,8,1000000.0,Topup,eWallet,177.252.xx.xx (HCM),fa62d062c4578da9,2019-06-01 08:00:00,501000000.0,2.0,501000000.0,2.0,501000000.0,2.0,501000000.0,2.0,503289015.0,4.0,503289015.0,4.0,0.99999999999998,0.9954518876196613,0.9999999999999801,0.9999950000249999,0.49999875000312505,0.9999975000062501,125821939.19515203,0.007947739530932701
