CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,COUNTERFACTUAL,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,Beneficiary_CUSTOMER_NUMBER,Device_OS,IP_Address_Proxy,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,Occupation_Group,SUM_AMOUNT_1H,COUNT_1H,SUM_AMOUNT_3H,COUNT_3H,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_48H,COUNT_48H,SUM_AMOUNT_7D,COUNT_7D,SUM_AMOUNT_30D,COUNT_30D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,DAYS_SINCE_LAST_TRANS,UNIQUE_BENEFICIARIES_24H,HOURS_SINCE_SEC_EVENT,LAST_LOGIN_METHOD,HIST_BIOMETRIC_RATIO,HIST_LOGIN_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
317,1,1.0,"Flagged due to: unusual behavior in feature 'TRANS_LV2' (value: 1.00), and transaction amount covers 78.3x monthly average balance, and unusual combination of high transaction amount and long inactivity period (combined score: 51.57).","TRANS_LV2 (+2.8809), BALANCE_COVERAGE_RATIO (+1.4545), DAYS_AMOUNT_COMBINED (+1.2887)","DAYS_AMOUNT_COMBINED × TRANS_LV2 (+1.9389), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.2157), HOURS_SINCE_SEC_EVENT × BALANCE_COVERAGE_RATIO (+0.2075)",,Payment,Credit_card_repayment,2019-11-24,Sun,8,1,2950000.0,NaN,Android,95.234.xx.xx (HN),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,2950000.0,1,2950000.0,1,2950000.0,1,2950000.0,1,2950000.0,1,2950000.0,1,37697.706666666665,2105881.5714285714,7,30.875,0,5158.0,LOGIN,0.06451610822061025,31.0,1.001997935597524,-1.0845402446682986
317,1,1.0,"Flagged due to: unusual behavior in feature 'TRANS_LV2' (value: 1.00), and transaction amount covers 69.0x monthly average balance, and unusual combination of high transaction amount and long inactivity period (combined score: 51.36).","TRANS_LV2 (+2.8820), BALANCE_COVERAGE_RATIO (+1.4584), DAYS_AMOUNT_COMBINED (+1.2887)","DAYS_AMOUNT_COMBINED × TRANS_LV2 (+1.9389), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.2157), HOURS_SINCE_SEC_EVENT × BALANCE_COVERAGE_RATIO (+0.2075)",,Payment,Credit_card_repayment,2019-12-25,Wed,17,1,2600000.0,NaN,Android,10.104.xx.xx (HP),F,2019-04-22,1982-09-03,0,2019-04-23,BRANCH,0,SMART_OTP,Working,2600000.0,1,2600000.0,1,2600000.0,1,2600000.0,1,2600000.0,1,2600000.0,1,37697.706666666665,2105881.5714285714,7,31.375,0,5911.0,LOGIN,0.05263156509695655,38.0,1.001997935597524,-1.0845402446682986
331,1,0.1161806657910347,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 60.68), and long inactivity period (40.4 days since last transaction), and recent security credential modification (0.0 hours ago).","DAYS_AMOUNT_COMBINED (+1.0979), DAYS_SINCE_LAST_TRANS (+0.9267), HOURS_SINCE_SEC_EVENT (+0.8250)","HOURS_SINCE_SEC_EVENT × TRANS_LV1 (+0.1961), SEC_AMOUNT_COMBINED × TRANS_LV1 (+0.1936), DAYS_SINCE_LAST_TRANS × HOURS_SINCE_SEC_EVENT (+0.1803)","TRANS_AMOUNT: 12,000,000.00 -> 1,390,571.59 (-10,609,428.41)",Transfer,Outside_bank,2019-03-06,Wed,9,2,12000000.0,63398,iOS,196.198.xx.xx (HCM),M,2019-01-16,1992-01-07,0,2019-01-25,BRANCH,1,SMS,Unemployed,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,3490298.725,6480000.0,3,40.375,1,0.0,LOGIN,0.0,0.0,0.0,-2.5092054678419475
470,1,0.05843676999211311,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 74.95), and long inactivity period (67.6 days since last transaction), and transaction amount covers 13.6x monthly average balance.","DAYS_AMOUNT_COMBINED (+1.4224), DAYS_SINCE_LAST_TRANS (+0.9411), BALANCE_COVERAGE_RATIO (+0.4070)","DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.3757), DAYS_SINCE_LAST_TRANS × DAYS_AMOUNT_COMBINED (+0.1325), BALANCE_COVERAGE_RATIO × DAYS_AMOUNT_COMBINED (+0.1189)","TRANS_AMOUNT: 50,000,000.00 -> 27,069,234.85 (-22,930,765.15)",Transfer,Outside_bank,2019-05-08,Wed,14,1,50000000.0,69129,Android,204.70.xx.xx (HN),M,2019-02-14,1985-08-23,0,2019-03-02,BRANCH,0,SMS,State servant,50000000.0,1,50000000.0,1,50000000.0,1,50000000.0,1,50000000.0,1,50000000.0,1,3666343.766363636,12919000.0,18,67.58333333333333,1,1612.0,LOGIN,0.4891304081994343,184.0,0.4989169656755756,-0.795191579133574
470,1,0.09017425775527954,"Flagged due to: long inactivity period (82.0 days since last transaction), and unusual combination of high transaction amount and long inactivity period (combined score: 68.15), and sudden 7d spending volume spike relative to 30 days (ratio: 100.0%).","DAYS_SINCE_LAST_TRANS (+2.0024), DAYS_AMOUNT_COMBINED (+1.2092), VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.3370)","DAYS_SINCE_LAST_TRANS × DAYS_AMOUNT_COMBINED (+0.1338), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (+0.1334), DAYS_SINCE_LAST_TRANS × TRANS_LV2 (+0.0968)","TRANS_AMOUNT: 5,000,000.00 -> 1,040,320.40 (-3,959,679.60)",Transfer,Outside_bank,2019-10-05,Sat,10,1,5000000.0,379135,Android,127.130.xx.xx (HN),M,2019-02-14,1985-08-23,0,2019-03-02,BRANCH,0,SMS,State servant,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,3666343.766363636,12919000.0,18,81.95833333333333,1,5208.0,LOGIN_FINGER,0.4830339224943329,501.0,0.4989169656755756,-0.795191579133574
504,1,0.09971074759960175,"Flagged due to: long inactivity period (109.4 days since last transaction), and unusual combination of high transaction amount and long inactivity period (combined score: 66.90), and sudden 7d spending volume spike relative to 30 days (ratio: 100.0%).","DAYS_SINCE_LAST_TRANS (+2.5025), DAYS_AMOUNT_COMBINED (+1.1961), VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.2582)","DAYS_SINCE_LAST_TRANS × TRANS_LV2 (+0.2134), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (+0.1421), DAYS_SINCE_LAST_TRANS × DAYS_AMOUNT_COMBINED (+0.1338)","TRANS_AMOUNT: 1,500,000.00 -> 72,669.98 (-1,427,330.02)",Transfer,Outside_bank,2019-06-17,Mon,10,1,1500000.0,36573,iOS,78.114.xx.xx (DN),M,2019-01-30,1983-05-12,0,2019-02-28,BRANCH,0,SMS,Working,1500000.0,1,1500000.0,1,1500000.0,1,1500000.0,1,1500000.0,1,1500000.0,1,948027.7991666667,1500000.0,1,109.41666666666667,1,2610.0,LOGIN,0.0,4.0,0.0,-0.9526807352979791
615,1,0.12469708174467087,"Flagged due to: long inactivity period (108.8 days since last transaction), and unusual combination of high transaction amount and long inactivity period (combined score: 70.27), and sudden 7d spending volume spike relative to 30 days (ratio: 100.0%).","DAYS_SINCE_LAST_TRANS (+2.6027), DAYS_AMOUNT_COMBINED (+1.4849), VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.2582)","DAYS_SINCE_LAST_TRANS × DAYS_AMOUNT_COMBINED (+0.3386), DAYS_SINCE_LAST_TRANS × TRANS_LV2 (+0.2290), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (+0.1563)","TRANS_AMOUNT: 3,125,000.00 -> 455,275.18 (-2,669,724.82)",Transfer,Outside_bank,2019-10-28,Mon,19,1,3125000.0,85968,Android,135.165.xx.xx (HN),F,2019-07-12,1994-11-24,0,2019-07-12,BRANCH,1,SMART_OTP,Working,3125000.0,1,3125000.0,1,3125000.0,1,3125000.0,1,3125000.0,1,3125000.0,1,1738366.7566666666,1249021.2916666667,24,108.79166666666667,1,999.0,LOGIN,0.0,16.0,0.19221788691458602,-1.215422611949282
617,1,0.049503881484270096,"Flagged due to: transaction amount is 15.5x higher than historical average, and transaction amount covers 13.2x monthly average balance, and sudden 7d spending volume spike relative to 30 days (ratio: 100.0%).","TRANS_AMOUNT_Z_SCORE (+2.0011), BALANCE_COVERAGE_RATIO (+0.6827), VELOCITY_RATIO_AMOUNT_7D_VS_30D (+0.2969)","HOURS_SINCE_SEC_EVENT × BALANCE_COVERAGE_RATIO (+0.2439), TRANS_AMOUNT_Z_SCORE × DAYS_AMOUNT_COMBINED (+0.1353), VELOCITY_RATIO_AMOUNT_7D_VS_30D × TRANS_LV1 (+0.1126)","TRANS_AMOUNT: 10,000,000.00 -> 9,295,492.17 (-704,507.83)",Transfer,Within_bank,2019-11-04,Mon,19,1,10000000.0,792156,iOS,36.98.xx.xx (HCM),M,2019-05-14,1991-11-04,0,2019-06-03,MYbank,1,SMS,Commercial associate,10000000.0,1,10000000.0,1,10190000.0,2,10190000.0,2,10420000.0,3,10420000.0,3,759126.4185714286,645416.6666666666,24,0.9583333333333334,2,3670.0,LOGIN,0.199999960000008,50.0,0.4009387427589749,-1.2187946516613175
640,1,0.06949371844530106,"Flagged due to: transaction amount is 14.9x higher than historical average, and transaction amount covers 15.2x monthly average balance, and transaction amount is 8.1x higher than 30-day average transaction size.","TRANS_AMOUNT_Z_SCORE (+2.0599), BALANCE_COVERAGE_RATIO (+0.7588), TRANS_AMOUNT_VS_30D_AVG_RATIO (+0.3923)","HOURS_SINCE_SEC_EVENT × BALANCE_COVERAGE_RATIO (+0.2439), TRANS_AMOUNT_Z_SCORE × DAYS_AMOUNT_COMBINED (+0.1617), TRANS_AMOUNT_Z_SCORE × TRANS_LV1 (-0.1471)","TRANS_AMOUNT: 20,150,000.00 -> 16,275,023.65 (-3,874,976.35)",Transfer,Outside_bank,2019-11-12,Tue,10,1,20150000.0,687495,iOS,226.6.xx.xx (HCM),M,2019-04-26,1990-07-09,0,2019-06-03,BRANCH,1,SMS,Working,20150000.0,1,20150000.0,1,20150000.0,1,20150000.0,1,24205000.0,7,24725000.0,10,1329118.49875,1356661.0169491526,59,2.9583333333333335,1,3888.0,LOGIN_FINGER,0.4425287101994994,174.0,0.36760838353631675,-1.1317807288531814
755,1,0.5057583451271057,"Flagged due to: long inactivity period (91.8 days since last transaction), and unusual combination of high transaction amount and long inactivity period (combined score: 66.56), and recent security credential modification (0.0 hours ago).","DAYS_SINCE_LAST_TRANS (+1.8229), DAYS_AMOUNT_COMBINED (+1.3362), HOURS_SINCE_SEC_EVENT (+0.7232)","DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.4180), HOURS_SINCE_SEC_EVENT × TRANS_LV1 (+0.1961), SEC_AMOUNT_COMBINED × TRANS_LV1 (+0.1936)",,Transfer,Outside_bank,2019-11-15,Fri,10,1,2400000.0,299894,iOS,51.234.xx.xx (DN),M,2019-01-29,1964-04-13,0,2019-08-15,BRANCH,0,SMART_OTP,Pensioner,2400000.0,1,2400000.0,1,2400000.0,1,2400000.0,1,2400000.0,1,2400000.0,1,228209.50416666665,2450000.0,2,91.79166666666667,1,0.0,LOGIN,0.0,1.0,0.0,-2.172453964726062
777,1,0.04761292785406113,"Flagged due to: unusual combination of high transaction amount and long inactivity period (combined score: 65.01), and long inactivity period (66.7 days since last transaction), and transaction amount covers 46.6x monthly average balance.","DAYS_AMOUNT_COMBINED (+0.9943), DAYS_SINCE_LAST_TRANS (+0.8944), BALANCE_COVERAGE_RATIO (+0.8673)","DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.2951), BALANCE_COVERAGE_RATIO × DAYS_AMOUNT_COMBINED (-0.1848), TRANS_AMOUNT_Z_SCORE × BALANCE_COVERAGE_RATIO (-0.1617)","TRANS_AMOUNT: 5,000,000.00 -> 4,854,211.81 (-145,788.19)",Transfer,Outside_bank,2019-08-10,Sat,16,1,5000000.0,532427,iOS,236.195.xx.xx (CT),F,2019-06-05,1984-05-16,0,2019-06-05,BRANCH,0,SMART_OTP,Working,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,5000000.0,1,107206.71666666667,8500000.0,2,66.66666666666667,1,1578.0,LOGIN,0.0,3.0,0.0,-0.9581408352170221
777,1,0.20435430109500885,"Flagged due to: long inactivity period (72.7 days since last transaction), and unusual combination of high transaction amount and long inactivity period (combined score: 70.09), and transaction amount covers 111.9x monthly average balance.","DAYS_SINCE_LAST_TRANS (+1.9007), DAYS_AMOUNT_COMBINED (+1.2950), BALANCE_COVERAGE_RATIO (+1.0290)","BALANCE_COVERAGE_RATIO × DAYS_AMOUNT_COMBINED (-0.3831), DAYS_SINCE_LAST_TRANS × DAYS_AMOUNT_COMBINED (+0.3307), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.2951)","TRANS_AMOUNT: 12,000,000.00 -> 873,676.30 (-11,126,323.70)",Transfer,Outside_bank,2019-10-22,Tue,9,1,12000000.0,452974,iOS,219.200.xx.xx (BD),F,2019-06-05,1984-05-16,0,2019-06-05,BRANCH,0,SMART_OTP,Working,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,12000000.0,1,107206.71666666667,8500000.0,2,72.70833333333333,1,3323.0,LOGIN,0.0,13.0,0.0,-0.9581408352170221
806,1,1.0,"Flagged due to: unusual behavior in feature 'TRANS_LV2' (value: 1.00), and unusual combination of high transaction amount and long inactivity period (combined score: 60.75), and unusual behavior in feature 'TRANS_LV1' (value: 0.00).","TRANS_LV2 (+2.7562), DAYS_AMOUNT_COMBINED (+2.1458), TRANS_LV1 (+0.8273)","DAYS_AMOUNT_COMBINED × TRANS_LV2 (+1.9743), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.4584), DAYS_SINCE_LAST_TRANS × TRANS_LV2 (-0.4549)",,Payment,Credit_card_repayment,2019-11-26,Tue,16,1,2379665.0,NaN,iOS,141.125.xx.xx (DN),M,2019-01-10,1993-01-15,0,2019-09-26,AUTO-JOB,0,SMART_OTP,Businessman,2379665.0,1,2379665.0,1,2379665.0,1,2379665.0,1,2379665.0,1,2379665.0,1,125165.795,4261332.5,2,61.666666666666664,0,0.0,LOGIN,0.4499997750001125,20.0,0.0,-1.303704609216112
806,1,1.0,"Flagged due to: unusual behavior in feature 'TRANS_LV2' (value: 1.00), and unusual combination of high transaction amount and long inactivity period (combined score: 53.05), and transaction amount covers 49.1x monthly average balance.","TRANS_LV2 (+2.9720), DAYS_AMOUNT_COMBINED (+2.0043), BALANCE_COVERAGE_RATIO (+1.0097)","DAYS_AMOUNT_COMBINED × TRANS_LV2 (+1.9389), DAYS_SINCE_LAST_TRANS × BALANCE_COVERAGE_RATIO (-0.1997), BALANCE_COVERAGE_RATIO × TRANS_LV2 (+0.1833)","TRANS_AMOUNT: 6,143,000.00 -> 639,850.92 (-5,503,149.08)",Payment,Credit_card_repayment,2019-12-25,Wed,11,1,6143000.0,NaN,iOS,108.156.xx.xx (TH),M,2019-01-10,1993-01-15,0,2019-09-26,AUTO-JOB,0,SMART_OTP,Businessman,6143000.0,1,6143000.0,1,6143000.0,1,6143000.0,1,6143000.0,1,8522665.0,2,125165.795,4261332.5,2,28.791666666666668,0,691.0,LOGIN,0.4399998240000704,25.0,0.0,-1.303704609216112
